model,th,min_vox,gate,elong,tumour_ceiling,dice_all,dice_tumour,dice3d,fa_of_neg,fp_per_scan,nod_detect
attention_unet_2_5d_5l,0.5,35,0.998,2.0,0.6325524461885943,0.9580557532411298,0.5357206471776178,0.6030946681443117,0.011769066814938375,0.26732673267326734,0.616822429906542
attention_unet_2_5d,0.3,35,0.99,2.5,0.5881742827134712,0.9553514218744316,0.5373192473569107,0.5980761545678916,0.0147808358817533,0.4455445544554455,0.677570093457944
attention_unet_2d,0.3,0,0.995,3.0,0.4841705955538659,0.9493747468148992,0.4386132589803645,0.4984339119281947,0.01413214715967,0.4851485148514851,0.5093457943925234
segresnet_2_5d_5sl,0.4,35,0.995,2.0,0.6352875380650108,0.951453130828672,0.5417653678872953,0.5927646884560972,0.0192753220276156,0.5247524752475248,0.6822429906542056
segresnet_2_5d,0.6,25,0.9999,2.0,0.6225679016290627,0.952550383353464,0.5504377851267855,0.5862701007188745,0.0187193031229728,0.4752475247524752,0.7009345794392523
segresnet_2d,0.7,50,0.998,2.5,0.5246649986820374,0.952322046493113,0.4413067465024295,0.4745103133019589,0.0111667130015753,0.2178217821782178,0.4719626168224299
unet_2_5d_5sl,0.3,35,0.0,2.0,0.5569439261436645,0.9534667131577576,0.5090559501037512,0.5811758930678387,0.0147808358817533,0.495049504950495,0.6074766355140186
unet_2_5d,0.5,35,0.0,2.5,0.5281305212294489,0.9527216539828532,0.4712941158881291,0.558495507800995,0.0128811046242238,0.4356435643564356,0.5887850467289719
unet_2d_dicefocal,0.5,15,0.0,4.0,0.4309778449867606,0.9428907924670068,0.3854777464377842,0.460290908339571,0.0172829209526457,0.8415841584158416,0.5280373831775701
unet_2d_dicece,0.4,35,0.0,3.0,0.42933543330675,0.950087335087384,0.3863939925814983,0.4884328914093802,0.0096376610138078,0.4059405940594059,0.4485981308411215
unet_2d_tversky,0.3,50,0.9999,2.5,0.3973627999492956,0.949120837128094,0.330395744325579,0.4499375135361317,0.006672226855713,0.198019801980198,0.3457943925233644
unet_noaug,0.3,0,0.99,2.5,0.3095880851763226,0.9447404397185746,0.2238507964022837,0.3841514199189006,0.0037531276063386,0.0891089108910891,0.1962616822429906
