Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 0.9834 | 0.3281 | 0.2500 | 0.2900 | 0.4880 | 0.9989 | 91.45 | 45.96 | 38.8% | 0.0529 | 0.3554
02 | 0.8269 | 0.4877 | 0.3913 | 0.4797 | 0.5634 | 0.9997 | 58.97 | 29.49 | 26.8% | 0.1112 | 0.4808
03 | 0.7988 | 0.5403 | 0.4436 | 0.5594 | 0.5761 | 0.9998 | 42.75 | 24.73 | 24.1% | 0.1380 | 0.5200
04 | 0.7870 | 0.5660 | 0.4681 | 0.5710 | 0.6161 | 0.9997 | 48.42 | 24.48 | 20.9% | 0.1213 | 0.5501
05 | 0.7813 | 0.5711 | 0.4763 | 0.5711 | 0.6233 | 0.9998 | 39.51 | 23.09 | 22.5% | 0.1594 | 0.5569
06 | 0.7764 | 0.5644 | 0.4675 | 0.6184 | 0.5582 | 0.9998 | 36.34 | 21.46 | 22.7% | 0.1726 | 0.5300
07 | 0.7734 | 0.5861 | 0.4864 | 0.6057 | 0.6139 | 0.9998 | 39.99 | 21.83 | 20.2% | 0.1510 | 0.5621
08 | 0.7711 | 0.5710 | 0.4688 | 0.5752 | 0.6143 | 0.9998 | 35.35 | 21.94 | 21.1% | 0.1631 | 0.5514
09 | 0.7683 | 0.5775 | 0.4792 | 0.5950 | 0.6049 | 0.9998 | 36.94 | 21.07 | 20.8% | 0.1301 | 0.5539
10 | 0.7663 | 0.5822 | 0.4843 | 0.5903 | 0.6168 | 0.9998 | 33.03 | 20.14 | 21.8% | 0.1624 | 0.5611
11 | 0.7641 | 0.5810 | 0.4826 | 0.6026 | 0.6067 | 0.9998 | 38.66 | 22.04 | 20.6% | 0.1610 | 0.5568
12 | 0.7611 | 0.6066 | 0.5053 | 0.6553 | 0.6103 | 0.9998 | 33.55 | 18.66 | 18.2% | 0.1556 | 0.5741
13 | 0.7584 | 0.6143 | 0.5191 | 0.6392 | 0.6357 | 0.9998 | 31.21 | 18.66 | 19.4% | 0.1624 | 0.5897
14 | 0.7574 | 0.6145 | 0.5145 | 0.6188 | 0.6574 | 0.9998 | 33.87 | 18.61 | 18.2% | 0.1572 | 0.5955
15 | 0.7546 | 0.6081 | 0.5097 | 0.6390 | 0.6226 | 0.9998 | 30.12 | 18.04 | 19.4% | 0.1900 | 0.5801
16 | 0.7532 | 0.6325 | 0.5341 | 0.6323 | 0.6802 | 0.9998 | 34.22 | 18.12 | 16.3% | 0.1510 | 0.6156
17 | 0.7517 | 0.6244 | 0.5256 | 0.6381 | 0.6538 | 0.9998 | 33.74 | 17.78 | 17.1% | 0.1636 | 0.6013
18 | 0.7506 | 0.6063 | 0.5095 | 0.6277 | 0.6337 | 0.9998 | 34.76 | 20.02 | 19.7% | 0.1640 | 0.5832
19 | 0.7484 | 0.6281 | 0.5276 | 0.6179 | 0.6873 | 0.9998 | 32.98 | 17.37 | 16.5% | 0.1542 | 0.6143
20 | 0.7472 | 0.6122 | 0.5158 | 0.5832 | 0.6995 | 0.9997 | 35.23 | 19.91 | 18.7% | 0.1554 | 0.6091
21 | 0.7460 | 0.6195 | 0.5228 | 0.6324 | 0.6502 | 0.9998 | 31.96 | 19.09 | 18.9% | 0.1885 | 0.5975
22 | 0.7449 | 0.6383 | 0.5400 | 0.6705 | 0.6503 | 0.9998 | 27.60 | 16.46 | 16.9% | 0.1720 | 0.6095
23 | 0.7439 | 0.6378 | 0.5411 | 0.6521 | 0.6678 | 0.9998 | 28.81 | 16.62 | 17.4% | 0.1982 | 0.6156
24 | 0.7422 | 0.6414 | 0.5430 | 0.6635 | 0.6631 | 0.9999 | 28.61 | 16.59 | 16.4% | 0.1857 | 0.6158
