Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.0193 | 0.3192 | 0.2365 | 0.2581 | 0.5450 | 0.9986 | 119.17 | 59.34 | 38.7% | 0.0568 | 0.3741
02 | 0.8506 | 0.4817 | 0.3942 | 0.4799 | 0.5403 | 0.9997 | 67.73 | 38.70 | 31.6% | 0.1282 | 0.5007
03 | 0.7952 | 0.5308 | 0.4378 | 0.5384 | 0.5718 | 0.9997 | 64.03 | 35.25 | 26.0% | 0.1280 | 0.5470
04 | 0.7836 | 0.5204 | 0.4251 | 0.5451 | 0.5410 | 0.9998 | 57.15 | 36.04 | 26.6% | 0.1549 | 0.5355
05 | 0.7780 | 0.5423 | 0.4471 | 0.5287 | 0.6097 | 0.9997 | 58.06 | 33.10 | 24.4% | 0.1380 | 0.5602
06 | 0.7729 | 0.5457 | 0.4513 | 0.5675 | 0.5662 | 0.9997 | 53.78 | 32.77 | 25.6% | 0.1306 | 0.5598
07 | 0.7699 | 0.5581 | 0.4584 | 0.5706 | 0.5903 | 0.9998 | 49.61 | 29.05 | 22.1% | 0.1599 | 0.5730
08 | 0.7664 | 0.5765 | 0.4807 | 0.5822 | 0.6173 | 0.9998 | 55.30 | 29.97 | 22.2% | 0.1417 | 0.5920
09 | 0.7649 | 0.5726 | 0.4732 | 0.6154 | 0.5731 | 0.9998 | 47.64 | 28.27 | 22.3% | 0.1608 | 0.5870
10 | 0.7619 | 0.5742 | 0.4733 | 0.5962 | 0.5947 | 0.9998 | 50.16 | 28.74 | 20.8% | 0.1655 | 0.5884
11 | 0.7592 | 0.5951 | 0.5000 | 0.5937 | 0.6431 | 0.9998 | 50.43 | 27.65 | 20.6% | 0.1558 | 0.6106
12 | 0.7558 | 0.6142 | 0.5158 | 0.6388 | 0.6329 | 0.9998 | 45.81 | 24.67 | 18.5% | 0.1728 | 0.6286
13 | 0.7544 | 0.5889 | 0.4941 | 0.6135 | 0.6093 | 0.9998 | 53.09 | 29.09 | 21.3% | 0.1666 | 0.6039
14 | 0.7524 | 0.6024 | 0.5042 | 0.5913 | 0.6681 | 0.9997 | 48.65 | 25.99 | 18.9% | 0.1421 | 0.6206
15 | 0.7507 | 0.6082 | 0.5145 | 0.6316 | 0.6284 | 0.9998 | 45.85 | 27.35 | 20.4% | 0.1731 | 0.6227
16 | 0.7484 | 0.6134 | 0.5184 | 0.6203 | 0.6498 | 0.9998 | 44.21 | 25.00 | 19.8% | 0.1724 | 0.6278
17 | 0.7478 | 0.6132 | 0.5164 | 0.6374 | 0.6368 | 0.9998 | 43.00 | 24.99 | 18.6% | 0.1664 | 0.6291
18 | 0.7462 | 0.6145 | 0.5194 | 0.6295 | 0.6425 | 0.9998 | 45.14 | 26.46 | 19.0% | 0.1670 | 0.6288
19 | 0.7439 | 0.6254 | 0.5293 | 0.6287 | 0.6700 | 0.9998 | 46.76 | 24.51 | 18.0% | 0.1583 | 0.6414
20 | 0.7428 | 0.6148 | 0.5172 | 0.6313 | 0.6430 | 0.9998 | 44.44 | 26.30 | 19.1% | 0.1775 | 0.6297
21 | 0.7418 | 0.6021 | 0.5017 | 0.6212 | 0.6291 | 0.9998 | 46.22 | 26.41 | 19.5% | 0.1674 | 0.6175
22 | 0.7395 | 0.6241 | 0.5266 | 0.6369 | 0.6547 | 0.9998 | 43.52 | 24.07 | 18.2% | 0.1681 | 0.6386
23 | 0.7391 | 0.6248 | 0.5254 | 0.6499 | 0.6444 | 0.9998 | 43.85 | 24.16 | 17.5% | 0.1700 | 0.6397
24 | 0.7377 | 0.6334 | 0.5335 | 0.6482 | 0.6622 | 0.9998 | 40.55 | 22.89 | 16.9% | 0.1759 | 0.6479
25 | 0.7364 | 0.6411 | 0.5426 | 0.6646 | 0.6601 | 0.9998 | 39.04 | 22.23 | 16.8% | 0.1757 | 0.6553
26 | 0.7354 | 0.6277 | 0.5280 | 0.6482 | 0.6494 | 0.9998 | 39.68 | 23.05 | 17.8% | 0.1762 | 0.6418
27 | 0.7351 | 0.6425 | 0.5444 | 0.6487 | 0.6818 | 0.9998 | 40.31 | 22.88 | 16.5% | 0.1682 | 0.6576
28 | 0.7336 | 0.6377 | 0.5360 | 0.6503 | 0.6702 | 0.9998 | 40.93 | 22.57 | 16.0% | 0.1743 | 0.6527
29 | 0.7326 | 0.6380 | 0.5408 | 0.6363 | 0.6848 | 0.9998 | 42.33 | 23.67 | 17.4% | 0.1760 | 0.6531
30 | 0.7315 | 0.6316 | 0.5333 | 0.6398 | 0.6673 | 0.9998 | 40.48 | 23.63 | 17.7% | 0.1783 | 0.6462
31 | 0.7305 | 0.6288 | 0.5293 | 0.6520 | 0.6457 | 0.9998 | 39.92 | 23.51 | 17.7% | 0.1878 | 0.6422
32 | 0.7303 | 0.6349 | 0.5364 | 0.6486 | 0.6629 | 0.9998 | 40.04 | 23.32 | 17.7% | 0.1824 | 0.6488
33 | 0.7288 | 0.6338 | 0.5360 | 0.6466 | 0.6627 | 0.9998 | 40.14 | 23.52 | 17.7% | 0.1893 | 0.6477
34 | 0.7289 | 0.6305 | 0.5315 | 0.6451 | 0.6577 | 0.9998 | 39.46 | 23.99 | 17.8% | 0.1916 | 0.6445
35 | 0.7284 | 0.6401 | 0.5419 | 0.6591 | 0.6626 | 0.9998 | 38.83 | 22.31 | 17.1% | 0.1835 | 0.6540
36 | 0.7275 | 0.6399 | 0.5420 | 0.6604 | 0.6626 | 0.9998 | 39.29 | 23.26 | 17.2% | 0.1848 | 0.6543
37 | 0.7274 | 0.6390 | 0.5412 | 0.6638 | 0.6569 | 0.9998 | 37.86 | 22.43 | 17.6% | 0.1895 | 0.6532
38 | 0.7274 | 0.6366 | 0.5392 | 0.6553 | 0.6589 | 0.9998 | 39.02 | 23.32 | 17.6% | 0.1897 | 0.6503
39 | 0.7269 | 0.6371 | 0.5391 | 0.6562 | 0.6589 | 0.9998 | 39.29 | 23.42 | 17.6% | 0.1859 | 0.6507
40 | 0.7272 | 0.6386 | 0.5407 | 0.6576 | 0.6610 | 0.9998 | 38.31 | 23.00 | 17.6% | 0.1873 | 0.6524
