Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 0.9510 | 0.4804 | 0.3842 | 0.4695 | 0.5665 | 0.9996 | 72.02 | 39.06 | 27.8% | 0.1139 | 0.5055
02 | 0.7939 | 0.5718 | 0.4678 | 0.5807 | 0.6184 | 0.9998 | 48.19 | 26.74 | 19.2% | 0.1296 | 0.5903
03 | 0.7729 | 0.5966 | 0.4891 | 0.6188 | 0.6283 | 0.9998 | 44.43 | 25.60 | 17.1% | 0.1565 | 0.6146
04 | 0.7624 | 0.6141 | 0.5081 | 0.6078 | 0.6765 | 0.9998 | 43.70 | 23.48 | 16.1% | 0.1502 | 0.6328
05 | 0.7580 | 0.6273 | 0.5212 | 0.6315 | 0.6767 | 0.9998 | 41.46 | 21.20 | 15.2% | 0.1456 | 0.6452
06 | 0.7524 | 0.6456 | 0.5334 | 0.6060 | 0.7566 | 0.9997 | 39.88 | 17.58 | 11.2% | 0.1400 | 0.6694
07 | 0.7484 | 0.6318 | 0.5210 | 0.6971 | 0.6221 | 0.9999 | 34.10 | 19.48 | 13.9% | 0.1756 | 0.6503
08 | 0.7453 | 0.6560 | 0.5523 | 0.6583 | 0.7074 | 0.9998 | 34.44 | 18.85 | 13.7% | 0.1683 | 0.6739
09 | 0.7425 | 0.6551 | 0.5428 | 0.6565 | 0.7117 | 0.9998 | 32.20 | 16.40 | 11.2% | 0.1629 | 0.6744
10 | 0.7407 | 0.6619 | 0.5559 | 0.6659 | 0.7119 | 0.9998 | 36.56 | 18.07 | 12.4% | 0.1596 | 0.6799
11 | 0.7374 | 0.6674 | 0.5564 | 0.6677 | 0.7238 | 0.9998 | 27.95 | 15.34 | 11.0% | 0.1830 | 0.6863
12 | 0.7362 | 0.6615 | 0.5487 | 0.6582 | 0.7194 | 0.9998 | 35.37 | 16.92 | 10.8% | 0.1737 | 0.6797
13 | 0.7351 | 0.6746 | 0.5673 | 0.6716 | 0.7343 | 0.9998 | 29.41 | 14.80 | 10.8% | 0.1605 | 0.6935
14 | 0.7334 | 0.6732 | 0.5674 | 0.6729 | 0.7255 | 0.9998 | 27.44 | 15.54 | 12.3% | 0.1893 | 0.6906
15 | 0.7317 | 0.6627 | 0.5558 | 0.6537 | 0.7295 | 0.9998 | 28.30 | 15.24 | 12.5% | 0.2219 | 0.6819
16 | 0.7306 | 0.6924 | 0.5812 | 0.7132 | 0.7246 | 0.9998 | 28.07 | 12.65 | 8.3% | 0.1724 | 0.7101
17 | 0.7291 | 0.6852 | 0.5748 | 0.7256 | 0.6960 | 0.9999 | 24.27 | 13.09 | 10.0% | 0.1784 | 0.7023
18 | 0.7279 | 0.6998 | 0.5931 | 0.7175 | 0.7351 | 0.9998 | 25.54 | 12.76 | 9.3% | 0.1878 | 0.7174
19 | 0.7267 | 0.6863 | 0.5791 | 0.7087 | 0.7121 | 0.9998 | 28.25 | 14.00 | 10.6% | 0.1765 | 0.7024
20 | 0.7257 | 0.7051 | 0.5957 | 0.7037 | 0.7594 | 0.9998 | 22.97 | 11.89 | 8.1% | 0.2009 | 0.7227
21 | 0.7243 | 0.7129 | 0.6017 | 0.7190 | 0.7603 | 0.9998 | 21.63 | 10.84 | 7.2% | 0.1972 | 0.7308
22 | 0.7236 | 0.6948 | 0.5879 | 0.7165 | 0.7218 | 0.9999 | 26.99 | 14.03 | 10.3% | 0.2012 | 0.7110
23 | 0.7223 | 0.7052 | 0.5924 | 0.7523 | 0.7083 | 0.9999 | 20.11 | 10.97 | 8.0% | 0.1987 | 0.7220
24 | 0.7212 | 0.7139 | 0.6056 | 0.7201 | 0.7604 | 0.9998 | 22.11 | 11.10 | 7.8% | 0.2012 | 0.7315
25 | 0.7203 | 0.7132 | 0.6052 | 0.7317 | 0.7457 | 0.9999 | 21.24 | 10.93 | 8.2% | 0.1982 | 0.7302
26 | 0.7197 | 0.7125 | 0.6043 | 0.7262 | 0.7496 | 0.9998 | 21.06 | 10.86 | 8.3% | 0.2274 | 0.7294
27 | 0.7186 | 0.7054 | 0.5930 | 0.7325 | 0.7257 | 0.9998 | 20.53 | 10.80 | 7.8% | 0.2115 | 0.7212
28 | 0.7177 | 0.7173 | 0.6081 | 0.7373 | 0.7461 | 0.9999 | 21.12 | 10.54 | 7.5% | 0.2090 | 0.7335
29 | 0.7173 | 0.7241 | 0.6137 | 0.7237 | 0.7720 | 0.9998 | 20.64 | 9.70 | 6.7% | 0.2049 | 0.7399
30 | 0.7171 | 0.7221 | 0.6107 | 0.7280 | 0.7649 | 0.9998 | 21.39 | 10.27 | 6.7% | 0.2053 | 0.7383
31 | 0.7159 | 0.7176 | 0.6078 | 0.7212 | 0.7620 | 0.9998 | 21.12 | 11.02 | 7.3% | 0.2161 | 0.7336
32 | 0.7152 | 0.7201 | 0.6098 | 0.7258 | 0.7615 | 0.9998 | 21.74 | 10.47 | 7.3% | 0.2156 | 0.7358
33 | 0.7152 | 0.7187 | 0.6080 | 0.7461 | 0.7378 | 0.9999 | 21.19 | 10.50 | 7.5% | 0.2188 | 0.7342
34 | 0.7147 | 0.7217 | 0.6118 | 0.7383 | 0.7510 | 0.9998 | 19.67 | 10.03 | 7.5% | 0.2165 | 0.7370
35 | 0.7141 | 0.7167 | 0.6076 | 0.7342 | 0.7460 | 0.9999 | 20.78 | 10.54 | 8.0% | 0.2243 | 0.7323
36 | 0.7138 | 0.7126 | 0.6033 | 0.7250 | 0.7491 | 0.9998 | 20.85 | 10.54 | 8.3% | 0.2299 | 0.7289
37 | 0.7134 | 0.7222 | 0.6127 | 0.7366 | 0.7540 | 0.9998 | 20.34 | 10.24 | 7.5% | 0.2213 | 0.7376
38 | 0.7136 | 0.7223 | 0.6129 | 0.7322 | 0.7601 | 0.9998 | 20.34 | 9.98 | 7.3% | 0.2252 | 0.7382
39 | 0.7135 | 0.7197 | 0.6097 | 0.7316 | 0.7545 | 0.9998 | 20.27 | 10.27 | 7.6% | 0.2284 | 0.7353
40 | 0.7134 | 0.7181 | 0.6075 | 0.7311 | 0.7536 | 0.9998 | 20.50 | 10.03 | 7.3% | 0.2238 | 0.7343
