Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.0409 | 0.2586 | 0.0990 | 0.0972 | 95% | 0.8168 | 0.1707 | 0.1370 | 0.14 | 7.5% | 0.1751 | 0.2250 | 71.1% | 0/0.8/2.5
02 | 0.9899 | 0.3070 | 0.2318 | 0.1028 | 63% | 0.3133 | 0.4068 | 0.6934 | 0.48 | 33.6% | 0.3412 | 0.6425 | 28.5% | 0/0.998/2.5
03 | 0.4593 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
04 | 0.3482 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
05 | 0.3430 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
06 | 0.2908 | 0.3487 | 0.2100 | 0.3338 | 95% | 0.9427 | 0.2207 | 0.0057 | 0.21 | 22.9% | 0.2461 | 0.2183 | 71.5% | 0/0.0/4.0
07 | 0.2458 | 0.4489 | 0.3455 | 0.4197 | 89% | 0.9407 | 0.3560 | 0.0176 | 0.39 | 42.1% | 0.3741 | 0.3739 | 53.9% | 0/0.0/3.0
08 | 0.2335 | 0.4949 | 0.4023 | 0.3947 | 89% | 0.9350 | 0.4206 | 0.0282 | 0.31 | 45.3% | 0.4340 | 0.4497 | 44.8% | 0/0.99/2.5
09 | 0.2247 | 0.4813 | 0.4343 | 0.4357 | 68% | 0.9345 | 0.4262 | 0.0291 | 0.88 | 56.5% | 0.4379 | 0.4558 | 44.7% | 0/0.95/4.0
10 | 0.2208 | 0.4911 | 0.3854 | 0.4295 | 95% | 0.9343 | 0.4571 | 0.0316 | 0.29 | 43.9% | 0.4691 | 0.4848 | 40.9% | 0/0.99/2.0
11 | 0.2201 | 0.5168 | 0.4414 | 0.4295 | 84% | 0.9346 | 0.4700 | 0.0322 | 0.42 | 51.4% | 0.4838 | 0.4966 | 38.9% | 0/0.99/2.5
12 | 0.2162 | 0.5316 | 0.4718 | 0.4324 | 79% | 0.9340 | 0.4738 | 0.0331 | 0.91 | 63.6% | 0.4865 | 0.4987 | 39.0% | 0/0.97/4.0
13 | 0.2123 | 0.5342 | 0.4629 | 0.4331 | 84% | 0.9314 | 0.4924 | 0.0373 | 0.49 | 55.6% | 0.5021 | 0.5226 | 36.7% | 0/0.99/2.5
14 | 0.2114 | 0.5465 | 0.4780 | 0.4213 | 84% | 0.9310 | 0.4974 | 0.0380 | 0.33 | 54.7% | 0.5089 | 0.5266 | 36.1% | 35/0.99/2.5
15 | 0.2080 | 0.5410 | 0.4834 | 0.4291 | 79% | 0.9315 | 0.5062 | 0.0381 | 0.45 | 57.5% | 0.5140 | 0.5382 | 35.1% | 0/0.99/2.5
16 | 0.2056 | 0.5355 | 0.4645 | 0.4229 | 84% | 0.9310 | 0.5072 | 0.0387 | 0.52 | 58.9% | 0.5154 | 0.5369 | 34.9% | 0/0.99/2.5
17 | 0.2037 | 0.5505 | 0.4829 | 0.3933 | 84% | 0.9285 | 0.5083 | 0.0415 | 0.50 | 58.9% | 0.5191 | 0.5364 | 34.4% | 0/0.99/2.5
18 | 0.2044 | 0.5565 | 0.4782 | 0.4049 | 89% | 0.9310 | 0.5123 | 0.0391 | 0.36 | 57.0% | 0.5199 | 0.5439 | 34.2% | 35/0.99/2.5
19 | 0.1987 | 0.5589 | 0.4811 | 0.4204 | 89% | 0.9306 | 0.5166 | 0.0398 | 0.33 | 57.5% | 0.5227 | 0.5493 | 33.4% | 35/0.99/2.5
20 | 0.1953 | 0.5380 | 0.4919 | 0.4187 | 74% | 0.9286 | 0.5314 | 0.0430 | 0.48 | 62.1% | 0.5385 | 0.5641 | 32.0% | 35/0.0/2.5
