Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.0675 | 0.1881 | 0.0000 | 0.0297 | 100% | 0.7722 | 0.0000 | 0.1726 | 0.02 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.7/0.0
02 | 1.0147 | 0.3527 | 0.2149 | 0.1244 | 95% | 0.5847 | 0.3511 | 0.3986 | 0.23 | 22.9% | 0.3030 | 0.5308 | 39.6% | 0/0.95/2.5
03 | 0.7492 | 0.3983 | 0.2711 | 0.3180 | 95% | 0.9387 | 0.2718 | 0.0137 | 0.28 | 33.2% | 0.3216 | 0.2655 | 63.0% | 0/0.95/3.0
04 | 0.2806 | 0.4154 | 0.2921 | 0.3821 | 95% | 0.9365 | 0.3348 | 0.0205 | 0.17 | 29.9% | 0.3694 | 0.3352 | 56.1% | 0/0.99/2.0
05 | 0.2460 | 0.4864 | 0.4162 | 0.4206 | 79% | 0.9380 | 0.4088 | 0.0241 | 0.75 | 51.4% | 0.4431 | 0.4129 | 46.4% | 15/0.95/4.0
06 | 0.2290 | 0.5442 | 0.4752 | 0.4675 | 84% | 0.9360 | 0.4578 | 0.0299 | 0.56 | 56.5% | 0.4859 | 0.4667 | 40.4% | 0/0.97/2.5
07 | 0.2251 | 0.5297 | 0.4696 | 0.4233 | 79% | 0.9330 | 0.4796 | 0.0346 | 0.71 | 57.9% | 0.4992 | 0.4969 | 37.6% | 0/0.97/2.5
08 | 0.2176 | 0.5233 | 0.4495 | 0.4206 | 84% | 0.9329 | 0.4848 | 0.0350 | 0.56 | 52.3% | 0.5092 | 0.4967 | 36.9% | 0/0.97/2.0
09 | 0.2123 | 0.5402 | 0.4824 | 0.4278 | 79% | 0.9355 | 0.4941 | 0.0330 | 0.61 | 61.2% | 0.5135 | 0.5100 | 35.7% | 0/0.99/2.5
10 | 0.2073 | 0.5488 | 0.5053 | 0.3963 | 74% | 0.9312 | 0.5092 | 0.0387 | 0.65 | 64.0% | 0.5254 | 0.5266 | 34.2% | 0/0.995/2.5
11 | 0.2112 | 0.5362 | 0.4653 | 0.4094 | 84% | 0.9318 | 0.5170 | 0.0386 | 0.39 | 55.6% | 0.5360 | 0.5339 | 33.1% | 35/0.995/2.0
12 | 0.2011 | 0.5629 | 0.5104 | 0.4109 | 79% | 0.9333 | 0.5283 | 0.0377 | 0.49 | 63.6% | 0.5487 | 0.5442 | 31.4% | 35/0.995/2.5
13 | 0.1994 | 0.5569 | 0.4908 | 0.4328 | 84% | 0.9318 | 0.5346 | 0.0398 | 0.40 | 58.4% | 0.5532 | 0.5526 | 30.7% | 35/0.995/2.0
14 | 0.1994 | 0.5650 | 0.5008 | 0.4217 | 84% | 0.9319 | 0.5276 | 0.0392 | 0.51 | 57.9% | 0.5447 | 0.5440 | 31.8% | 0/0.995/2.0
15 | 0.1960 | 0.5657 | 0.5016 | 0.4594 | 84% | 0.9335 | 0.5288 | 0.0376 | 0.53 | 59.3% | 0.5431 | 0.5490 | 31.4% | 0/0.995/2.0
16 | 0.1910 | 0.5638 | 0.5359 | 0.4591 | 68% | 0.9327 | 0.5377 | 0.0391 | 0.83 | 68.7% | 0.5535 | 0.5614 | 30.0% | 15/0.99/2.5
17 | 0.1870 | 0.5768 | 0.5275 | 0.4385 | 79% | 0.9303 | 0.5528 | 0.0427 | 0.61 | 65.4% | 0.5697 | 0.5783 | 28.3% | 0/0.999/2.5
18 | 0.1876 | 0.5827 | 0.5226 | 0.4564 | 84% | 0.9315 | 0.5625 | 0.0421 | 0.56 | 63.6% | 0.5784 | 0.5857 | 28.4% | 0/0.9993/2.5
19 | 0.1816 | 0.5691 | 0.5058 | 0.4427 | 84% | 0.9329 | 0.5759 | 0.0416 | 0.44 | 59.3% | 0.5980 | 0.5963 | 26.7% | 35/0.999/2.0
20 | 0.1824 | 0.5953 | 0.5259 | 0.4531 | 89% | 0.9320 | 0.5777 | 0.0427 | 0.58 | 63.6% | 0.5999 | 0.5974 | 26.9% | 0/0.998/2.0
21 | 0.1798 | 0.6052 | 0.5503 | 0.4694 | 84% | 0.9333 | 0.5769 | 0.0412 | 0.78 | 70.6% | 0.6001 | 0.5976 | 26.8% | 0/0.998/2.5
22 | 0.1786 | 0.6091 | 0.5551 | 0.4626 | 84% | 0.9330 | 0.5831 | 0.0420 | 0.54 | 69.2% | 0.6052 | 0.6035 | 26.2% | 35/0.998/2.5
23 | 0.1753 | 0.6174 | 0.5409 | 0.4499 | 95% | 0.9291 | 0.5944 | 0.0469 | 0.60 | 65.4% | 0.6161 | 0.6171 | 24.6% | 0/0.998/2.0
24 | 0.1746 | 0.6085 | 0.5422 | 0.4483 | 89% | 0.9287 | 0.5938 | 0.0474 | 0.62 | 65.4% | 0.6164 | 0.6152 | 24.6% | 0/0.998/2.0
25 | 0.1699 | 0.6076 | 0.5410 | 0.4424 | 89% | 0.9287 | 0.5901 | 0.0471 | 0.67 | 66.8% | 0.6119 | 0.6106 | 25.0% | 0/0.998/2.0
