Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.0956 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0573 | 0.0003 | 0.9386 | 0.01 | 0.0% | 0.0027 | 0.0003 | 99.9% | 0/0.7/4.0
02 | 1.0189 | 0.3102 | 0.1991 | 0.1163 | 79% | 0.5861 | 0.3416 | 0.3964 | 0.22 | 20.1% | 0.3117 | 0.4958 | 41.6% | 0/0.95/2.5
03 | 0.7671 | 0.2655 | 0.0953 | 0.2600 | 100% | 0.9370 | 0.0952 | 0.0029 | 0.05 | 11.2% | 0.1408 | 0.0805 | 86.0% | 0/0.8/4.0
04 | 0.3454 | 0.1885 | 0.0005 | 0.1885 | 100% | 0.9335 | 0.0021 | 0.0000 | 0.01 | 0.5% | 0.0032 | 0.0016 | 99.7% | 0/0.0/0.0
05 | 0.3489 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
06 | 0.3487 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
07 | 0.3489 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
08 | 0.3490 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
09 | 0.3488 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
10 | 0.3490 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
11 | 0.3490 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
12 | 0.3487 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
13 | 0.3484 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
14 | 0.3483 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
15 | 0.3414 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
16 | 0.3325 | 0.1884 | 0.0003 | 0.1884 | 100% | 0.9334 | 0.0015 | 0.0000 | 0.03 | 0.5% | 0.0032 | 0.0010 | 99.7% | 0/0.0/0.0
17 | 0.2869 | 0.2788 | 0.1117 | 0.2735 | 100% | 0.9380 | 0.0994 | 0.0021 | 0.05 | 12.1% | 0.1343 | 0.0892 | 86.1% | 0/0.998/0.0
18 | 0.2720 | 0.3528 | 0.2150 | 0.3221 | 95% | 0.9400 | 0.2120 | 0.0080 | 0.19 | 24.8% | 0.2326 | 0.2140 | 73.1% | 0/0.7/4.0
19 | 0.2629 | 0.3985 | 0.2713 | 0.3428 | 95% | 0.9379 | 0.2736 | 0.0146 | 0.23 | 29.4% | 0.2981 | 0.2800 | 64.9% | 0/0.99/4.0
20 | 0.2581 | 0.4084 | 0.3323 | 0.3367 | 74% | 0.9345 | 0.3149 | 0.0213 | 0.50 | 36.9% | 0.3362 | 0.3242 | 59.3% | 15/0.9/4.0
21 | 0.2542 | 0.4148 | 0.3157 | 0.3394 | 84% | 0.9341 | 0.3352 | 0.0231 | 0.34 | 34.6% | 0.3613 | 0.3414 | 56.9% | 35/0.0/3.0
22 | 0.2505 | 0.4183 | 0.2957 | 0.3580 | 95% | 0.9341 | 0.3497 | 0.0241 | 0.23 | 29.4% | 0.3752 | 0.3557 | 55.2% | 0/0.999/3.0
23 | 0.2456 | 0.4204 | 0.3471 | 0.3506 | 74% | 0.9335 | 0.3575 | 0.0253 | 0.42 | 39.3% | 0.3816 | 0.3648 | 54.2% | 0/0.97/3.0
24 | 0.2426 | 0.4185 | 0.3813 | 0.3409 | 58% | 0.9318 | 0.3767 | 0.0285 | 0.58 | 42.5% | 0.3991 | 0.3850 | 51.9% | 0/0.99/4.0
25 | 0.2386 | 0.4204 | 0.3349 | 0.3401 | 79% | 0.9306 | 0.3827 | 0.0303 | 0.30 | 36.4% | 0.4037 | 0.3926 | 50.9% | 0/0.998/3.0
26 | 0.2378 | 0.4238 | 0.3513 | 0.3255 | 74% | 0.9291 | 0.3890 | 0.0323 | 0.42 | 39.3% | 0.4105 | 0.3996 | 50.1% | 35/0.998/4.0
27 | 0.2371 | 0.4309 | 0.3600 | 0.3290 | 74% | 0.9297 | 0.3932 | 0.0319 | 0.45 | 41.1% | 0.4136 | 0.4037 | 49.7% | 0/0.998/4.0
28 | 0.2328 | 0.4462 | 0.3666 | 0.3308 | 79% | 0.9280 | 0.4035 | 0.0346 | 0.46 | 41.6% | 0.4251 | 0.4143 | 48.5% | 0/0.998/4.0
29 | 0.2290 | 0.4467 | 0.3795 | 0.3467 | 74% | 0.9272 | 0.4083 | 0.0358 | 0.45 | 42.5% | 0.4264 | 0.4201 | 47.5% | 0/0.995/3.0
30 | 0.2273 | 0.4468 | 0.3674 | 0.3420 | 79% | 0.9279 | 0.4150 | 0.0355 | 0.31 | 40.7% | 0.4396 | 0.4262 | 46.3% | 0/0.998/3.0
31 | 0.2261 | 0.4411 | 0.3848 | 0.3310 | 68% | 0.9270 | 0.4182 | 0.0367 | 0.52 | 45.3% | 0.4426 | 0.4290 | 46.2% | 0/0.998/4.0
32 | 0.2258 | 0.4452 | 0.3899 | 0.3435 | 68% | 0.9247 | 0.4242 | 0.0396 | 0.46 | 44.9% | 0.4459 | 0.4368 | 45.8% | 0/0.995/3.0
33 | 0.2215 | 0.4414 | 0.3607 | 0.3437 | 79% | 0.9255 | 0.4247 | 0.0387 | 0.25 | 40.2% | 0.4434 | 0.4372 | 45.8% | 0/0.998/2.5
34 | 0.2195 | 0.4450 | 0.3773 | 0.3488 | 74% | 0.9272 | 0.4279 | 0.0372 | 0.38 | 43.5% | 0.4507 | 0.4380 | 45.1% | 0/0.998/3.0
35 | 0.2174 | 0.4444 | 0.3401 | 0.3640 | 89% | 0.9280 | 0.4328 | 0.0367 | 0.30 | 36.9% | 0.4570 | 0.4420 | 44.7% | 35/0.9997/4.0
36 | 0.2163 | 0.4540 | 0.4007 | 0.3557 | 68% | 0.9268 | 0.4405 | 0.0385 | 0.34 | 44.4% | 0.4657 | 0.4503 | 43.6% | 35/0.998/3.0
37 | 0.2142 | 0.4674 | 0.4050 | 0.3593 | 74% | 0.9290 | 0.4438 | 0.0364 | 0.36 | 44.9% | 0.4707 | 0.4516 | 43.3% | 0/0.998/3.0
38 | 0.2122 | 0.4675 | 0.4051 | 0.3589 | 74% | 0.9289 | 0.4439 | 0.0364 | 0.36 | 44.9% | 0.4751 | 0.4501 | 43.1% | 0/0.998/3.0
