Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 0.9803 | 0.3070 | 0.2394 | 0.3562 | 0.3404 | 0.9996 | 73.33 | 42.16 | 50.6% | 0.1248 | 0.3346
02 | 0.8461 | 0.4299 | 0.3516 | 0.4610 | 0.4439 | 0.9997 | 70.06 | 43.98 | 38.2% | 0.1266 | 0.4449
03 | 0.8110 | 0.5273 | 0.4351 | 0.5530 | 0.5488 | 0.9997 | 58.94 | 34.16 | 26.1% | 0.1395 | 0.5430
04 | 0.7942 | 0.5459 | 0.4473 | 0.5167 | 0.6433 | 0.9996 | 60.18 | 31.06 | 22.2% | 0.1149 | 0.5686
05 | 0.7878 | 0.5413 | 0.4457 | 0.5635 | 0.5673 | 0.9998 | 61.02 | 34.58 | 25.2% | 0.1284 | 0.5574
06 | 0.7816 | 0.5671 | 0.4681 | 0.6059 | 0.5751 | 0.9998 | 54.94 | 30.84 | 22.2% | 0.1382 | 0.5827
07 | 0.7762 | 0.5708 | 0.4660 | 0.5395 | 0.6634 | 0.9996 | 57.50 | 28.79 | 19.3% | 0.1289 | 0.5912
08 | 0.7725 | 0.5633 | 0.4612 | 0.6086 | 0.5669 | 0.9998 | 48.44 | 27.14 | 21.0% | 0.1317 | 0.5796
09 | 0.7695 | 0.5710 | 0.4717 | 0.5981 | 0.5852 | 0.9998 | 51.07 | 30.12 | 22.0% | 0.1576 | 0.5848
10 | 0.7662 | 0.5828 | 0.4789 | 0.5999 | 0.6095 | 0.9998 | 50.47 | 27.47 | 18.7% | 0.1447 | 0.5974
11 | 0.7660 | 0.5840 | 0.4822 | 0.5782 | 0.6364 | 0.9997 | 53.91 | 26.99 | 18.8% | 0.1364 | 0.5995
12 | 0.7632 | 0.5905 | 0.4877 | 0.6159 | 0.6076 | 0.9998 | 43.93 | 25.47 | 18.9% | 0.1646 | 0.6047
13 | 0.7591 | 0.5913 | 0.4884 | 0.5982 | 0.6316 | 0.9997 | 47.23 | 26.55 | 18.4% | 0.1473 | 0.6070
14 | 0.7580 | 0.6215 | 0.5188 | 0.6087 | 0.6762 | 0.9998 | 44.56 | 25.17 | 17.4% | 0.1669 | 0.6355
15 | 0.7536 | 0.6269 | 0.5268 | 0.6427 | 0.6534 | 0.9998 | 41.55 | 23.18 | 17.4% | 0.1800 | 0.6410
16 | 0.7516 | 0.6367 | 0.5379 | 0.6568 | 0.6578 | 0.9998 | 42.69 | 25.22 | 16.7% | 0.1867 | 0.6505
17 | 0.7494 | 0.6387 | 0.5348 | 0.6584 | 0.6642 | 0.9998 | 41.30 | 22.11 | 15.2% | 0.1586 | 0.6538
18 | 0.7482 | 0.6342 | 0.5326 | 0.6200 | 0.6978 | 0.9998 | 46.61 | 24.30 | 16.1% | 0.1734 | 0.6507
19 | 0.7463 | 0.6326 | 0.5291 | 0.6430 | 0.6715 | 0.9998 | 44.28 | 24.41 | 15.4% | 0.1571 | 0.6490
20 | 0.7444 | 0.6467 | 0.5467 | 0.6812 | 0.6554 | 0.9999 | 38.60 | 22.60 | 15.9% | 0.1911 | 0.6611
21 | 0.7437 | 0.6575 | 0.5552 | 0.6505 | 0.7130 | 0.9998 | 40.68 | 20.52 | 13.4% | 0.1694 | 0.6737
22 | 0.7406 | 0.6481 | 0.5421 | 0.6503 | 0.6934 | 0.9998 | 42.74 | 21.51 | 13.2% | 0.1537 | 0.6639
23 | 0.7396 | 0.6493 | 0.5476 | 0.6572 | 0.6841 | 0.9998 | 41.70 | 21.08 | 14.9% | 0.1827 | 0.6635
24 | 0.7371 | 0.6415 | 0.5410 | 0.6400 | 0.6873 | 0.9998 | 43.18 | 23.88 | 16.0% | 0.1773 | 0.6562
25 | 0.7366 | 0.6601 | 0.5574 | 0.6820 | 0.6816 | 0.9998 | 36.97 | 20.79 | 13.6% | 0.1822 | 0.6746
26 | 0.7351 | 0.6516 | 0.5510 | 0.6831 | 0.6627 | 0.9998 | 37.59 | 21.31 | 15.2% | 0.1923 | 0.6658
27 | 0.7341 | 0.6561 | 0.5549 | 0.6659 | 0.6909 | 0.9998 | 40.18 | 22.46 | 14.5% | 0.1871 | 0.6710
28 | 0.7314 | 0.6545 | 0.5526 | 0.6753 | 0.6755 | 0.9998 | 36.07 | 20.45 | 14.7% | 0.1811 | 0.6684
29 | 0.3945 | 0.5473 | 0.4672 | 0.5522 | 0.5780 | 0.9998 | 25.73 | 14.72 | 30.8% | 0.3328 | 0.5592
30 | 0.2513 | 0.5723 | 0.4876 | 0.6018 | 0.5808 | 0.9999 | 22.02 | 11.70 | 27.6% | 0.3487 | 0.5850
31 | 0.2323 | 0.5985 | 0.5107 | 0.6073 | 0.6263 | 0.9998 | 25.19 | 14.30 | 24.3% | 0.3110 | 0.6107
32 | 0.2233 | 0.5863 | 0.5004 | 0.5906 | 0.6190 | 0.9998 | 23.81 | 12.30 | 25.9% | 0.3277 | 0.5987
33 | 0.2385 | 0.5990 | 0.5136 | 0.5998 | 0.6355 | 0.9998 | 23.87 | 12.49 | 24.7% | 0.3215 | 0.6114
34 | 0.2224 | 0.5760 | 0.4923 | 0.5855 | 0.6011 | 0.9999 | 22.35 | 11.08 | 27.5% | 0.3457 | 0.5875
35 | 0.2296 | 0.6058 | 0.5167 | 0.6148 | 0.6346 | 0.9998 | 23.63 | 12.07 | 23.2% | 0.3178 | 0.6184
36 | 0.2255 | 0.5726 | 0.4887 | 0.5970 | 0.5823 | 0.9999 | 24.19 | 12.99 | 27.7% | 0.3612 | 0.5840
37 | 0.2185 | 0.6182 | 0.5278 | 0.6379 | 0.6363 | 0.9999 | 23.80 | 12.44 | 21.7% | 0.3248 | 0.6308
38 | 0.2236 | 0.6068 | 0.5185 | 0.6235 | 0.6249 | 0.9999 | 22.25 | 11.46 | 23.6% | 0.3450 | 0.6184
39 | 0.2236 | 0.6040 | 0.5164 | 0.6180 | 0.6247 | 0.9999 | 21.44 | 10.86 | 24.1% | 0.3552 | 0.6155
40 | 0.2202 | 0.6082 | 0.5191 | 0.6224 | 0.6304 | 0.9999 | 22.94 | 12.06 | 23.2% | 0.3451 | 0.6203
