Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 0.9394 | 0.3999 | 0.3092 | 0.3970 | 0.4834 | 0.9997 | 86.49 | 47.47 | 35.2% | 0.1110 | 0.4268
02 | 0.8109 | 0.5135 | 0.4156 | 0.5355 | 0.5602 | 0.9998 | 47.89 | 31.98 | 26.7% | 0.1654 | 0.5364
03 | 0.7814 | 0.5941 | 0.4801 | 0.5415 | 0.7402 | 0.9996 | 47.74 | 20.92 | 13.2% | 0.1173 | 0.6253
04 | 0.7714 | 0.6011 | 0.4879 | 0.6267 | 0.6294 | 0.9998 | 39.54 | 20.22 | 15.0% | 0.1631 | 0.6190
05 | 0.7663 | 0.6282 | 0.5166 | 0.6094 | 0.7065 | 0.9998 | 39.45 | 19.34 | 13.1% | 0.1397 | 0.6481
06 | 0.7617 | 0.6302 | 0.5204 | 0.6447 | 0.6697 | 0.9998 | 36.84 | 19.59 | 14.1% | 0.1729 | 0.6482
07 | 0.7566 | 0.6339 | 0.5200 | 0.6244 | 0.7028 | 0.9998 | 39.05 | 17.91 | 12.2% | 0.1435 | 0.6537
08 | 0.7545 | 0.6637 | 0.5528 | 0.6615 | 0.7252 | 0.9998 | 36.19 | 17.18 | 10.1% | 0.1288 | 0.6835
09 | 0.7520 | 0.6426 | 0.5330 | 0.6368 | 0.7026 | 0.9998 | 35.60 | 18.82 | 13.2% | 0.1752 | 0.6606
10 | 0.7497 | 0.6410 | 0.5327 | 0.6086 | 0.7373 | 0.9996 | 37.08 | 18.73 | 12.8% | 0.0903 | 0.6623
11 | 0.7486 | 0.6501 | 0.5425 | 0.6485 | 0.7067 | 0.9998 | 34.31 | 18.20 | 12.3% | 0.1619 | 0.6684
12 | 0.7469 | 0.6606 | 0.5524 | 0.6280 | 0.7559 | 0.9997 | 35.04 | 16.71 | 10.8% | 0.1332 | 0.6815
13 | 0.7441 | 0.6404 | 0.5311 | 0.6606 | 0.6686 | 0.9998 | 35.01 | 18.62 | 13.2% | 0.1671 | 0.6565
14 | 0.7406 | 0.6746 | 0.5624 | 0.6905 | 0.7062 | 0.9998 | 30.15 | 15.13 | 10.2% | 0.2064 | 0.6904
15 | 0.7382 | 0.6793 | 0.5677 | 0.6698 | 0.7398 | 0.9998 | 30.00 | 14.51 | 9.5% | 0.1574 | 0.6963
16 | 0.7363 | 0.6735 | 0.5606 | 0.6880 | 0.7104 | 0.9998 | 31.79 | 15.05 | 9.3% | 0.1447 | 0.6906
17 | 0.7344 | 0.6768 | 0.5644 | 0.6741 | 0.7303 | 0.9998 | 28.33 | 14.11 | 9.3% | 0.1624 | 0.6937
