Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.3742 | 0.1789 | 0.0375 | 0.0124 | 79% | 0.0084 | 0.1257 | 1.0000 | 0.18 | 7.0% | 0.0742 | 0.8686 | 60.8% | 0/0.9997/2.0
02 | 1.0914 | 0.1732 | 0.1524 | 0.0357 | 26% | 0.0222 | 0.3024 | 0.9979 | 1.38 | 33.2% | 0.2035 | 0.8763 | 20.8% | 0/0.9997/1.8
03 | 0.7985 | 0.4269 | 0.3185 | 0.1742 | 89% | 0.7960 | 0.4570 | 0.1797 | 0.59 | 49.1% | 0.3658 | 0.7204 | 24.1% | 70/0.9997/2.0
04 | 0.6457 | 0.4438 | 0.3759 | 0.1904 | 74% | 0.8356 | 0.4834 | 0.1392 | 0.83 | 63.6% | 0.3948 | 0.7261 | 23.0% | 70/0.9997/2.5
05 | 0.5703 | 0.4624 | 0.3866 | 0.2019 | 79% | 0.8409 | 0.4982 | 0.1346 | 0.52 | 57.9% | 0.4078 | 0.7325 | 22.8% | 70/0.9997/2.0
06 | 0.5248 | 0.4426 | 0.3988 | 0.2192 | 63% | 0.8476 | 0.5168 | 0.1288 | 0.63 | 61.2% | 0.4278 | 0.7456 | 21.3% | 70/0.9997/2.0
07 | 0.4827 | 0.4646 | 0.4259 | 0.2276 | 63% | 0.8511 | 0.5323 | 0.1262 | 0.63 | 66.8% | 0.4408 | 0.7604 | 19.9% | 70/0.999/2.0
08 | 0.4659 | 0.4908 | 0.4460 | 0.2535 | 68% | 0.8649 | 0.5398 | 0.1119 | 0.94 | 70.1% | 0.4516 | 0.7549 | 20.2% | 35/0.9993/2.0
09 | 0.4398 | 0.5151 | 0.4515 | 0.2558 | 79% | 0.8657 | 0.5513 | 0.1118 | 0.50 | 65.0% | 0.4632 | 0.7663 | 18.9% | 70/0.9997/2.0
10 | 0.4300 | 0.5024 | 0.4603 | 0.2606 | 68% | 0.8685 | 0.5546 | 0.1091 | 1.01 | 70.6% | 0.4658 | 0.7728 | 18.4% | 35/0.9997/2.0
11 | 0.4152 | 0.4896 | 0.4689 | 0.2578 | 58% | 0.8634 | 0.5573 | 0.1148 | 1.10 | 71.5% | 0.4664 | 0.7787 | 17.8% | 35/0.9997/2.0
12 | 0.4009 | 0.4943 | 0.4625 | 0.2746 | 63% | 0.8699 | 0.5618 | 0.1081 | 1.17 | 71.5% | 0.4734 | 0.7794 | 17.3% | 35/0.9993/2.0
