Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.0060 | 0.2903 | 0.1380 | 0.0844 | 95% | 0.4372 | 0.2931 | 0.5525 | 0.15 | 13.1% | 0.2397 | 0.5160 | 41.9% | 0/0.995/0.0
02 | 0.6115 | 0.4813 | 0.4099 | 0.2870 | 79% | 0.9006 | 0.4607 | 0.0680 | 0.48 | 50.9% | 0.4690 | 0.5111 | 36.1% | 35/0.97/2.0
03 | 0.2782 | 0.4902 | 0.4087 | 0.3079 | 84% | 0.9133 | 0.4741 | 0.0553 | 0.64 | 54.2% | 0.4758 | 0.5350 | 34.7% | 0/0.97/2.0
04 | 0.2704 | 0.5078 | 0.4426 | 0.2971 | 79% | 0.9096 | 0.4826 | 0.0599 | 0.86 | 62.6% | 0.4842 | 0.5350 | 34.4% | 0/0.97/2.5
05 | 0.2557 | 0.5438 | 0.4868 | 0.3153 | 79% | 0.9074 | 0.5141 | 0.0645 | 0.87 | 64.5% | 0.5101 | 0.5781 | 30.2% | 0/0.97/2.0
06 | 0.2495 | 0.5475 | 0.4792 | 0.3057 | 84% | 0.9085 | 0.5162 | 0.0635 | 0.65 | 60.3% | 0.5179 | 0.5735 | 30.3% | 35/0.95/1.8
07 | 0.2415 | 0.5160 | 0.4526 | 0.3358 | 79% | 0.9096 | 0.5250 | 0.0629 | 0.63 | 58.9% | 0.5316 | 0.5733 | 29.5% | 35/0.99/2.0
08 | 0.2385 | 0.5367 | 0.4659 | 0.3167 | 84% | 0.9044 | 0.5304 | 0.0689 | 0.69 | 62.6% | 0.5304 | 0.5851 | 28.3% | 0/0.99/2.0
09 | 0.2392 | 0.5286 | 0.4437 | 0.3075 | 89% | 0.9027 | 0.5433 | 0.0716 | 0.53 | 56.1% | 0.5471 | 0.5916 | 27.4% | 0/0.99/1.8
10 | 0.2289 | 0.5531 | 0.5105 | 0.3305 | 74% | 0.9092 | 0.5471 | 0.0650 | 0.85 | 68.2% | 0.5621 | 0.5827 | 26.7% | 35/0.97/2.0
11 | 0.2258 | 0.5701 | 0.4949 | 0.3340 | 89% | 0.9076 | 0.5533 | 0.0671 | 0.63 | 64.0% | 0.5564 | 0.6024 | 26.1% | 0/0.99/2.0
12 | 0.2269 | 0.5703 | 0.4951 | 0.3234 | 89% | 0.9042 | 0.5645 | 0.0715 | 0.66 | 64.0% | 0.5646 | 0.6160 | 24.9% | 0/0.99/2.0
13 | 0.2222 | 0.5490 | 0.4689 | 0.3063 | 89% | 0.9019 | 0.5696 | 0.0744 | 0.61 | 62.1% | 0.5669 | 0.6220 | 24.4% | 35/0.99/1.8
14 | 0.2183 | 0.5694 | 0.5062 | 0.3277 | 84% | 0.9021 | 0.5689 | 0.0740 | 0.62 | 63.6% | 0.5644 | 0.6223 | 25.0% | 0/0.995/2.0
15 | 0.2147 | 0.5690 | 0.5179 | 0.3323 | 79% | 0.9034 | 0.5758 | 0.0732 | 0.68 | 66.4% | 0.5714 | 0.6296 | 24.1% | 35/0.99/2.0
16 | 0.2141 | 0.5579 | 0.4920 | 0.3251 | 84% | 0.9052 | 0.5729 | 0.0710 | 0.61 | 64.5% | 0.5667 | 0.6266 | 24.8% | 0/0.995/2.0
17 | 0.2130 | 0.5551 | 0.4885 | 0.3369 | 84% | 0.9079 | 0.5808 | 0.0688 | 0.51 | 61.7% | 0.5783 | 0.6299 | 24.0% | 35/0.995/1.8
18 | 0.2127 | 0.5360 | 0.4773 | 0.3402 | 79% | 0.9070 | 0.5845 | 0.0699 | 0.51 | 60.3% | 0.5848 | 0.6290 | 23.5% | 35/0.995/1.8
19 | 0.2094 | 0.5552 | 0.5009 | 0.3271 | 79% | 0.9058 | 0.5850 | 0.0713 | 0.63 | 65.0% | 0.5849 | 0.6285 | 23.4% | 35/0.99/1.8
20 | 0.2042 | 0.5699 | 0.5190 | 0.3462 | 79% | 0.9078 | 0.5869 | 0.0692 | 0.90 | 71.0% | 0.5893 | 0.6277 | 23.2% | 0/0.99/2.0
21 | 0.2048 | 0.5552 | 0.4887 | 0.3408 | 84% | 0.9085 | 0.5835 | 0.0683 | 0.52 | 62.6% | 0.5896 | 0.6194 | 23.7% | 35/0.99/1.8
22 | 0.2037 | 0.5543 | 0.5120 | 0.3436 | 74% | 0.9089 | 0.5849 | 0.0679 | 0.85 | 69.6% | 0.5945 | 0.6195 | 23.4% | 0/0.99/2.0
23 | 0.1961 | 0.5567 | 0.4906 | 0.3564 | 84% | 0.9100 | 0.5842 | 0.0667 | 0.59 | 65.9% | 0.5921 | 0.6186 | 23.3% | 35/0.995/2.0
24 | 0.1983 | 0.5630 | 0.4983 | 0.3753 | 84% | 0.9136 | 0.5921 | 0.0635 | 0.53 | 65.0% | 0.6088 | 0.6182 | 23.0% | 35/0.995/2.0
25 | 0.1947 | 0.5705 | 0.5076 | 0.3636 | 84% | 0.9132 | 0.5981 | 0.0643 | 0.54 | 63.6% | 0.6168 | 0.6233 | 23.1% | 35/0.99/1.8
26 | 0.1917 | 0.5552 | 0.5009 | 0.3663 | 79% | 0.9127 | 0.6029 | 0.0651 | 0.52 | 61.2% | 0.6231 | 0.6298 | 22.3% | 35/0.995/1.8
27 | 0.1889 | 0.5703 | 0.5195 | 0.3821 | 79% | 0.9134 | 0.6067 | 0.0647 | 0.54 | 65.9% | 0.6256 | 0.6345 | 21.9% | 35/0.99/1.8
28 | 0.1883 | 0.5868 | 0.5521 | 0.3851 | 74% | 0.9180 | 0.6135 | 0.0602 | 1.00 | 73.8% | 0.6256 | 0.6424 | 21.9% | 0/0.97/2.0
