Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.3183 | 0.1447 | 0.0807 | 0.0140 | 42% | 0.0100 | 0.1495 | 1.0000 | 0.90 | 14.5% | 0.0906 | 0.8743 | 53.6% | 0/0.9997/2.0
02 | 1.0401 | 0.2669 | 0.2067 | 0.0877 | 53% | 0.2137 | 0.4121 | 0.8005 | 0.58 | 27.6% | 0.3146 | 0.7332 | 22.4% | 0/0.9997/1.8
03 | 0.7646 | 0.3234 | 0.2154 | 0.1489 | 79% | 0.8253 | 0.3772 | 0.1427 | 0.49 | 35.0% | 0.3048 | 0.5947 | 36.6% | 0/0.999/2.5
04 | 0.6998 | 0.3423 | 0.2997 | 0.1641 | 53% | 0.8414 | 0.4054 | 0.1275 | 0.75 | 49.1% | 0.3301 | 0.6057 | 35.8% | 70/0.9993/3.0
05 | 0.6249 | 0.3418 | 0.3234 | 0.1830 | 42% | 0.8492 | 0.4300 | 0.1209 | 0.78 | 49.1% | 0.3539 | 0.6247 | 34.0% | 0/0.9997/3.0
06 | 0.5793 | 0.3614 | 0.2744 | 0.1975 | 74% | 0.8502 | 0.4471 | 0.1210 | 0.33 | 38.3% | 0.3669 | 0.6498 | 31.4% | 0/0.9993/2.0
07 | 0.5429 | 0.3828 | 0.3618 | 0.2029 | 47% | 0.8547 | 0.4550 | 0.1168 | 0.75 | 54.2% | 0.3727 | 0.6580 | 30.7% | 0/0.9997/2.5
08 | 0.5282 | 0.3733 | 0.3745 | 0.2106 | 37% | 0.8594 | 0.4567 | 0.1119 | 0.88 | 57.5% | 0.3770 | 0.6582 | 30.7% | 35/0.9993/2.5
09 | 0.5083 | 0.3875 | 0.3919 | 0.2187 | 37% | 0.8693 | 0.4643 | 0.1018 | 1.01 | 60.3% | 0.3859 | 0.6557 | 30.5% | 0/0.9997/3.0
10 | 0.4848 | 0.4027 | 0.3863 | 0.2229 | 47% | 0.8668 | 0.4752 | 0.1052 | 0.79 | 56.5% | 0.3976 | 0.6679 | 29.1% | 0/0.9997/2.5
11 | 0.4718 | 0.4077 | 0.3924 | 0.2290 | 47% | 0.8702 | 0.4761 | 0.1016 | 0.93 | 58.9% | 0.3986 | 0.6639 | 29.8% | 35/0.995/2.5
12 | 0.4588 | 0.4122 | 0.3979 | 0.2341 | 47% | 0.8758 | 0.4850 | 0.0962 | 0.75 | 55.6% | 0.4128 | 0.6571 | 29.9% | 0/0.9997/2.5
13 | 0.4494 | 0.4270 | 0.4040 | 0.2372 | 53% | 0.8801 | 0.4962 | 0.0925 | 0.80 | 57.9% | 0.4256 | 0.6653 | 28.7% | 0/0.9997/2.5
14 | 0.4222 | 0.4185 | 0.4057 | 0.2401 | 47% | 0.8816 | 0.4987 | 0.0910 | 0.80 | 58.4% | 0.4252 | 0.6736 | 28.0% | 0/0.9997/2.5
15 | 0.4105 | 0.4307 | 0.4207 | 0.2493 | 47% | 0.8847 | 0.5048 | 0.0882 | 0.72 | 57.9% | 0.4326 | 0.6789 | 27.5% | 35/0.9997/2.5
16 | 0.3982 | 0.4307 | 0.4329 | 0.2537 | 42% | 0.8872 | 0.5125 | 0.0860 | 0.80 | 59.3% | 0.4406 | 0.6847 | 26.7% | 0/0.9997/2.5
17 | 0.4004 | 0.4315 | 0.4339 | 0.2515 | 42% | 0.8856 | 0.5069 | 0.0874 | 0.81 | 60.7% | 0.4321 | 0.6809 | 27.6% | 0/0.9997/2.5
18 | 0.3917 | 0.4194 | 0.4312 | 0.2491 | 37% | 0.8849 | 0.5092 | 0.0883 | 1.10 | 62.6% | 0.4353 | 0.6811 | 27.6% | 0/0.995/2.5
19 | 0.3782 | 0.4213 | 0.4335 | 0.2486 | 37% | 0.8849 | 0.5121 | 0.0885 | 1.00 | 62.6% | 0.4415 | 0.6812 | 27.3% | 0/0.9993/2.5
