Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.0621 | 0.0000 | 0.0000 | 0.0026 | 0.0000 | 1.0000 | 53.31 | 50.11 | 100.0% | 0.0000 | 0.0000
02 | 0.9718 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
03 | 0.8749 | 0.0001 | 0.0000 | 0.0065 | 0.0000 | 1.0000 | 79.25 | 38.67 | 100.0% | 0.0001 | 0.0001
04 | 0.8418 | 0.4425 | 0.3541 | 0.5363 | 0.4115 | 0.9999 | 30.62 | 19.21 | 35.8% | 0.2137 | 0.4027
05 | 0.8244 | 0.4939 | 0.3971 | 0.4880 | 0.5561 | 0.9996 | 55.90 | 29.09 | 25.9% | 0.1215 | 0.4824
06 | 0.8119 | 0.5082 | 0.4169 | 0.5659 | 0.4989 | 0.9999 | 35.05 | 22.54 | 29.7% | 0.2137 | 0.4747
07 | 0.8018 | 0.5431 | 0.4448 | 0.5463 | 0.5927 | 0.9998 | 39.94 | 22.59 | 23.9% | 0.1666 | 0.5269
08 | 0.7952 | 0.5341 | 0.4366 | 0.5222 | 0.6089 | 0.9997 | 44.45 | 24.39 | 24.3% | 0.1383 | 0.5265
09 | 0.7900 | 0.5414 | 0.4454 | 0.5577 | 0.5741 | 0.9998 | 35.10 | 21.25 | 25.0% | 0.1742 | 0.5203
10 | 0.7849 | 0.5456 | 0.4504 | 0.5476 | 0.5959 | 0.9998 | 41.72 | 23.32 | 24.4% | 0.1632 | 0.5307
11 | 0.7810 | 0.5466 | 0.4468 | 0.5238 | 0.6418 | 0.9996 | 46.88 | 23.12 | 21.1% | 0.1227 | 0.5451
12 | 0.7779 | 0.5377 | 0.4452 | 0.5564 | 0.5637 | 0.9998 | 34.53 | 22.29 | 27.3% | 0.1853 | 0.5156
13 | 0.7746 | 0.5595 | 0.4578 | 0.5530 | 0.6193 | 0.9997 | 42.97 | 22.54 | 21.3% | 0.1624 | 0.5455
14 | 0.7724 | 0.5562 | 0.4601 | 0.5813 | 0.5797 | 0.9998 | 35.71 | 20.87 | 23.8% | 0.1822 | 0.5320
15 | 0.7703 | 0.5475 | 0.4515 | 0.5675 | 0.5755 | 0.9998 | 33.93 | 21.00 | 25.7% | 0.1946 | 0.5248
16 | 0.7683 | 0.5579 | 0.4636 | 0.5774 | 0.5862 | 0.9998 | 32.55 | 20.92 | 24.8% | 0.1774 | 0.5359
17 | 0.7654 | 0.5687 | 0.4740 | 0.5815 | 0.6013 | 0.9998 | 32.10 | 19.21 | 23.5% | 0.1914 | 0.5480
18 | 0.7639 | 0.5744 | 0.4743 | 0.5951 | 0.6004 | 0.9998 | 34.71 | 19.78 | 21.4% | 0.1726 | 0.5497
19 | 0.7623 | 0.5691 | 0.4730 | 0.5867 | 0.6006 | 0.9998 | 32.48 | 18.83 | 23.2% | 0.1929 | 0.5476
