Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.1171 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.9995 | 137.42 | 126.57 | 100.0% | 0.0000 | 0.0000
02 | 1.0280 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
03 | 0.9190 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
04 | 0.8768 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
05 | 0.8565 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
06 | 0.8378 | 0.4585 | 0.3665 | 0.5251 | 0.4516 | 0.9998 | 40.01 | 24.51 | 33.3% | 0.1678 | 0.4255
07 | 0.8226 | 0.4876 | 0.3859 | 0.4684 | 0.5681 | 0.9996 | 51.58 | 28.17 | 26.4% | 0.1250 | 0.4805
08 | 0.8125 | 0.5162 | 0.4195 | 0.5237 | 0.5602 | 0.9997 | 40.70 | 25.33 | 27.2% | 0.1469 | 0.4986
09 | 0.8029 | 0.5136 | 0.4193 | 0.5075 | 0.5660 | 0.9996 | 45.04 | 26.47 | 27.1% | 0.1279 | 0.4996
10 | 0.7963 | 0.5178 | 0.4177 | 0.5339 | 0.5503 | 0.9998 | 40.31 | 24.21 | 25.9% | 0.1552 | 0.4953
11 | 0.7903 | 0.5238 | 0.4278 | 0.5106 | 0.5930 | 0.9997 | 44.57 | 25.65 | 25.7% | 0.1392 | 0.5149
12 | 0.7855 | 0.5462 | 0.4492 | 0.5520 | 0.5881 | 0.9997 | 39.60 | 21.99 | 23.9% | 0.1519 | 0.5278
13 | 0.7818 | 0.5264 | 0.4267 | 0.5256 | 0.5752 | 0.9997 | 46.16 | 25.46 | 24.8% | 0.1346 | 0.5094
14 | 0.7785 | 0.5388 | 0.4426 | 0.5595 | 0.5678 | 0.9998 | 37.60 | 22.73 | 25.2% | 0.1618 | 0.5164
15 | 0.7757 | 0.5381 | 0.4403 | 0.5589 | 0.5678 | 0.9998 | 42.25 | 23.59 | 24.1% | 0.1588 | 0.5154
16 | 0.7734 | 0.5411 | 0.4420 | 0.5583 | 0.5756 | 0.9998 | 37.89 | 21.37 | 24.4% | 0.1672 | 0.5196
17 | 0.7711 | 0.5351 | 0.4390 | 0.5699 | 0.5497 | 0.9998 | 35.14 | 21.28 | 25.6% | 0.1864 | 0.5080
18 | 0.7686 | 0.5711 | 0.4680 | 0.5959 | 0.5976 | 0.9998 | 38.44 | 19.78 | 19.8% | 0.1532 | 0.5456
19 | 0.7661 | 0.5621 | 0.4616 | 0.5648 | 0.6145 | 0.9997 | 36.75 | 20.97 | 21.9% | 0.1629 | 0.5461
20 | 0.7650 | 0.5612 | 0.4627 | 0.5659 | 0.6040 | 0.9998 | 39.83 | 21.76 | 23.2% | 0.1601 | 0.5426
21 | 0.7623 | 0.5631 | 0.4638 | 0.6022 | 0.5703 | 0.9998 | 35.31 | 20.80 | 22.6% | 0.1706 | 0.5324
22 | 0.7602 | 0.5694 | 0.4736 | 0.5939 | 0.5925 | 0.9998 | 35.75 | 21.27 | 23.2% | 0.1758 | 0.5452
23 | 0.7588 | 0.5619 | 0.4658 | 0.5863 | 0.5852 | 0.9998 | 38.93 | 22.54 | 23.5% | 0.1652 | 0.5376
24 | 0.7574 | 0.5627 | 0.4644 | 0.5862 | 0.5860 | 0.9998 | 34.33 | 20.75 | 22.7% | 0.1834 | 0.5377
25 | 0.7558 | 0.5684 | 0.4723 | 0.5764 | 0.6083 | 0.9997 | 38.70 | 21.59 | 22.4% | 0.1477 | 0.5497
26 | 0.7542 | 0.5613 | 0.4635 | 0.5951 | 0.5792 | 0.9998 | 35.43 | 20.52 | 23.2% | 0.1955 | 0.5347
27 | 0.7528 | 0.5746 | 0.4762 | 0.6020 | 0.5927 | 0.9998 | 34.26 | 20.56 | 22.2% | 0.1762 | 0.5479
28 | 0.7520 | 0.5666 | 0.4693 | 0.5813 | 0.6042 | 0.9998 | 38.09 | 21.80 | 22.2% | 0.1709 | 0.5467
29 | 0.7510 | 0.5677 | 0.4713 | 0.5810 | 0.6024 | 0.9998 | 37.19 | 22.60 | 23.5% | 0.1837 | 0.5471
30 | 0.7497 | 0.5702 | 0.4726 | 0.5866 | 0.5986 | 0.9998 | 34.76 | 20.87 | 23.0% | 0.1895 | 0.5472
31 | 0.7480 | 0.5739 | 0.4773 | 0.5957 | 0.5965 | 0.9998 | 36.06 | 21.55 | 22.4% | 0.1857 | 0.5492
32 | 0.7465 | 0.5718 | 0.4756 | 0.5887 | 0.6015 | 0.9998 | 35.58 | 21.64 | 22.8% | 0.1790 | 0.5496
33 | 0.7471 | 0.5826 | 0.4844 | 0.6022 | 0.6088 | 0.9998 | 36.26 | 21.75 | 21.7% | 0.1782 | 0.5586
34 | 0.7459 | 0.5725 | 0.4756 | 0.5877 | 0.6064 | 0.9998 | 35.66 | 21.48 | 22.7% | 0.1828 | 0.5515
35 | 0.7451 | 0.5719 | 0.4757 | 0.5929 | 0.5969 | 0.9998 | 34.37 | 20.89 | 23.0% | 0.1852 | 0.5482
36 | 0.7452 | 0.5747 | 0.4782 | 0.5938 | 0.6023 | 0.9998 | 35.36 | 21.82 | 22.8% | 0.1858 | 0.5517
37 | 0.7449 | 0.5736 | 0.4773 | 0.5929 | 0.5996 | 0.9998 | 34.59 | 21.40 | 23.1% | 0.1889 | 0.5502
38 | 0.7444 | 0.5703 | 0.4741 | 0.5956 | 0.5913 | 0.9998 | 35.14 | 21.44 | 23.3% | 0.1895 | 0.5452
39 | 0.7444 | 0.5742 | 0.4775 | 0.5938 | 0.6008 | 0.9998 | 35.06 | 21.55 | 23.1% | 0.1826 | 0.5508
40 | 0.7441 | 0.5758 | 0.4790 | 0.5942 | 0.6024 | 0.9998 | 35.49 | 21.63 | 22.8% | 0.1835 | 0.5524
