Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.0921 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.9999 | 193.74 | 186.97 | 100.0% | 0.0000 | 0.0000
02 | 1.0405 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
03 | 1.0200 | 0.1782 | 0.1320 | 0.1709 | 0.2505 | 0.9992 | 59.37 | 43.17 | 68.7% | 0.0927 | 0.1869
04 | 1.0051 | 0.3030 | 0.2260 | 0.2664 | 0.4615 | 0.9992 | 54.75 | 32.95 | 46.7% | 0.1354 | 0.3302
05 | 0.9942 | 0.3279 | 0.2317 | 0.2504 | 0.6605 | 0.9984 | 85.28 | 40.22 | 28.9% | 0.0861 | 0.4067
06 | 0.9823 | 0.4055 | 0.3019 | 0.3319 | 0.6647 | 0.9991 | 73.61 | 32.62 | 26.2% | 0.1145 | 0.4574
07 | 0.9292 | 0.4628 | 0.3631 | 0.4627 | 0.5433 | 0.9997 | 53.98 | 26.85 | 26.7% | 0.1253 | 0.4564
08 | 0.7966 | 0.5309 | 0.4226 | 0.5753 | 0.5504 | 0.9998 | 44.10 | 20.99 | 21.5% | 0.1651 | 0.5013
09 | 0.7763 | 0.5703 | 0.4673 | 0.5819 | 0.6232 | 0.9998 | 34.89 | 17.98 | 19.6% | 0.1857 | 0.5536
10 | 0.7675 | 0.5658 | 0.4604 | 0.5988 | 0.5985 | 0.9998 | 31.81 | 17.38 | 19.5% | 0.1929 | 0.5416
11 | 0.7617 | 0.5840 | 0.4744 | 0.6197 | 0.6094 | 0.9998 | 29.80 | 14.94 | 17.3% | 0.2046 | 0.5559
12 | 0.7580 | 0.6082 | 0.4970 | 0.6054 | 0.6766 | 0.9998 | 32.80 | 15.02 | 14.1% | 0.1828 | 0.5939
13 | 0.7548 | 0.6041 | 0.4943 | 0.6268 | 0.6380 | 0.9998 | 30.86 | 14.69 | 14.9% | 0.2079 | 0.5788
14 | 0.7514 | 0.5910 | 0.4820 | 0.5746 | 0.6784 | 0.9997 | 28.82 | 14.67 | 16.7% | 0.2033 | 0.5838
15 | 0.7487 | 0.5872 | 0.4811 | 0.6134 | 0.6280 | 0.9998 | 24.00 | 12.18 | 18.1% | 0.2329 | 0.5655
16 | 0.7470 | 0.5953 | 0.4876 | 0.6026 | 0.6486 | 0.9998 | 31.78 | 15.86 | 16.1% | 0.1966 | 0.5772
17 | 0.7453 | 0.6000 | 0.4958 | 0.6316 | 0.6310 | 0.9998 | 25.99 | 13.52 | 17.6% | 0.2427 | 0.5756
18 | 0.7427 | 0.6160 | 0.5050 | 0.6248 | 0.6731 | 0.9998 | 27.50 | 13.36 | 13.9% | 0.1992 | 0.5980
19 | 0.7410 | 0.6114 | 0.5025 | 0.6350 | 0.6543 | 0.9998 | 24.91 | 12.59 | 14.9% | 0.2344 | 0.5894
20 | 0.7396 | 0.6287 | 0.5190 | 0.6600 | 0.6582 | 0.9998 | 23.23 | 12.11 | 13.7% | 0.2304 | 0.6019
21 | 0.7376 | 0.6144 | 0.5049 | 0.6146 | 0.6829 | 0.9998 | 24.77 | 12.72 | 14.7% | 0.2223 | 0.6007
22 | 0.7352 | 0.6222 | 0.5134 | 0.6409 | 0.6670 | 0.9998 | 23.28 | 12.76 | 15.0% | 0.2109 | 0.6009
23 | 0.7346 | 0.6438 | 0.5339 | 0.6383 | 0.7175 | 0.9998 | 24.83 | 12.07 | 12.1% | 0.2026 | 0.6317
24 | 0.7323 | 0.6292 | 0.5207 | 0.6547 | 0.6637 | 0.9998 | 24.30 | 13.45 | 14.3% | 0.2120 | 0.6045
25 | 0.7306 | 0.6204 | 0.5132 | 0.6480 | 0.6522 | 0.9998 | 23.56 | 13.19 | 15.7% | 0.2376 | 0.5952
