Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.2496 | 0.0001 | 0.0002 | 0.0001 | 0% | 0.0001 | 0.0020 | 1.0000 | 0.19 | 100.0% | 0.0010 | 1.0000 | 100.0% | 0/0.0/0.0
02 | 1.1706 | 0.0594 | 0.0000 | 0.0000 | 32% | 0.0000 | 0.0000 | 1.0000 | 1.82 | 0.0% | 0.0000 | 0.0002 | 100.0% | 0/0.998/1.8
03 | 1.0992 | 0.1683 | 0.0000 | 0.0000 | 89% | 0.0000 | 0.0000 | 1.0000 | 0.15 | 0.0% | 0.0000 | 0.0000 | 100.0% | 70/0.0/1.8
04 | 1.0486 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.9/2.5
05 | 1.0235 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0191 | 0.0000 | 0.9796 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.7/0.0
06 | 1.0108 | 0.1881 | 0.0000 | 0.0039 | 100% | 0.0011 | 0.0171 | 1.0000 | 0.00 | 0.0% | 0.0268 | 0.0132 | 93.7% | 0/0.99/0.0
07 | 0.9985 | 0.3154 | 0.1690 | 0.0965 | 95% | 0.0436 | 0.3134 | 0.9757 | 0.18 | 14.0% | 0.2609 | 0.4681 | 44.4% | 0/0.99/4.0
08 | 0.9871 | 0.3688 | 0.2347 | 0.1166 | 95% | 0.4515 | 0.3893 | 0.5440 | 0.26 | 27.1% | 0.3254 | 0.6373 | 27.7% | 0/0.998/3.0
09 | 0.9665 | 0.3603 | 0.2609 | 0.1066 | 79% | 0.2879 | 0.4271 | 0.7221 | 0.38 | 37.4% | 0.3418 | 0.7338 | 20.6% | 0/0.9997/2.5
10 | 0.9104 | 0.2994 | 0.2591 | 0.0999 | 47% | 0.1433 | 0.4772 | 0.8805 | 0.56 | 36.0% | 0.3835 | 0.7833 | 16.3% | 0/0.9997/1.8
11 | 0.3737 | 0.3923 | 0.3246 | 0.2536 | 68% | 0.8701 | 0.3791 | 0.0948 | 0.79 | 46.3% | 0.3707 | 0.4836 | 41.1% | 70/0.998/3.0
