Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.1050 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0001 | 100.0% | 0/0.9/0.0
02 | 1.0676 | 0.1881 | 0.0000 | 0.0003 | 100% | 0.0001 | 0.0010 | 1.0000 | 0.00 | 0.0% | 0.0029 | 0.0007 | 99.7% | 0/0.9/0.0
03 | 1.0289 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0001 | 0.0000 | 0.9999 | 0.25 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.95/4.0
04 | 0.4934 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
05 | 0.3494 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
06 | 0.3491 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
07 | 0.3489 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
08 | 0.3467 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
09 | 0.3425 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
10 | 0.3247 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
