Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.6328 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0002 | 1.0000 | 0.00 | 0.0% | 0.0001 | 0.0011 | 100.0% | 0/0.998/0.0
02 | 1.5346 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0003 | 1.0000 | 0.02 | 0.0% | 0.0002 | 0.0006 | 99.8% | 0/0.998/2.0
03 | 1.4055 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.95/2.0
04 | 1.2726 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.998/0.0
05 | 0.9859 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
06 | 0.3515 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
07 | 0.3490 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
08 | 0.3467 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
09 | 0.3391 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
10 | 0.3337 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
11 | 0.3270 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
12 | 0.3188 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
13 | 0.3060 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
14 | 0.2928 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
