Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.1444 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0004 | 1.0000 | 0.00 | 0.0% | 0.0003 | 0.0020 | 100.0% | 0/0.995/0.0
02 | 1.0956 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.95/0.0
03 | 1.0537 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0001 | 0.0000 | 0.9999 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.7/0.0
04 | 1.0240 | 0.2850 | 0.1559 | 0.1130 | 84% | 0.7537 | 0.2148 | 0.2078 | 0.27 | 13.6% | 0.2166 | 0.2927 | 63.7% | 0/0.9/4.0
05 | 1.0066 | 0.3040 | 0.1549 | 0.1178 | 95% | 0.6333 | 0.3108 | 0.3436 | 0.11 | 13.1% | 0.2685 | 0.4961 | 43.2% | 0/0.998/4.0
06 | 0.9955 | 0.3369 | 0.2076 | 0.1168 | 89% | 0.5144 | 0.3585 | 0.4745 | 0.29 | 23.8% | 0.2966 | 0.5938 | 33.7% | 0/0.995/3.0
07 | 0.9825 | 0.3492 | 0.2228 | 0.1056 | 89% | 0.2252 | 0.3928 | 0.7868 | 0.29 | 26.6% | 0.3145 | 0.6783 | 25.6% | 0/0.9997/3.0
08 | 0.9541 | 0.2985 | 0.2335 | 0.0944 | 58% | 0.0542 | 0.4304 | 0.9727 | 0.29 | 29.0% | 0.3419 | 0.7274 | 20.3% | 0/0.9997/2.0
09 | 0.4852 | 0.3092 | 0.1614 | 0.2693 | 95% | 0.9324 | 0.1650 | 0.0127 | 0.22 | 15.9% | 0.2122 | 0.1629 | 76.4% | 35/0.0/4.0
10 | 0.3498 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
11 | 0.3495 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
12 | 0.3472 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.01 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
13 | 0.3455 | 0.1881 | 0.0000 | 0.1881 | 100% | 0.9333 | 0.0000 | 0.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.0/0.0
14 | 0.2994 | 0.2628 | 0.1042 | 0.2487 | 95% | 0.9363 | 0.1028 | 0.0042 | 0.09 | 14.0% | 0.1540 | 0.0878 | 84.2% | 0/0.7/4.0
15 | 0.2741 | 0.3508 | 0.2248 | 0.3306 | 89% | 0.9364 | 0.2225 | 0.0126 | 0.25 | 24.3% | 0.2656 | 0.2149 | 70.0% | 0/0.95/4.0
16 | 0.2644 | 0.3983 | 0.2832 | 0.3153 | 89% | 0.9322 | 0.2824 | 0.0214 | 0.37 | 30.4% | 0.3247 | 0.2811 | 62.4% | 0/0.99/4.0
17 | 0.2587 | 0.4233 | 0.3018 | 0.3389 | 95% | 0.9296 | 0.3200 | 0.0268 | 0.35 | 34.6% | 0.3581 | 0.3210 | 57.5% | 0/0.95/3.0
