Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.1446 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0005 | 1.0000 | 0.00 | 0.0% | 0.0003 | 0.0022 | 100.0% | 0/0.995/0.0
02 | 1.0960 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.95/0.0
03 | 1.0544 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0001 | 0.0000 | 0.9999 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.7/0.0
04 | 1.0265 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.1283 | 0.0000 | 0.8625 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.7/0.0
05 | 1.0121 | 0.2922 | 0.1648 | 0.1480 | 84% | 0.8476 | 0.2210 | 0.1076 | 0.22 | 15.0% | 0.2345 | 0.2746 | 65.3% | 0/0.8/3.0
06 | 1.0051 | 0.2951 | 0.1562 | 0.1447 | 89% | 0.7861 | 0.2941 | 0.1788 | 0.19 | 16.8% | 0.2826 | 0.4086 | 51.0% | 0/0.8/2.0
07 | 1.0011 | 0.3130 | 0.2148 | 0.1498 | 74% | 0.7232 | 0.3426 | 0.2497 | 0.46 | 26.2% | 0.3164 | 0.4849 | 42.6% | 0/0.9/2.5
08 | 0.9982 | 0.3390 | 0.2468 | 0.1490 | 74% | 0.6440 | 0.3747 | 0.3368 | 0.45 | 29.9% | 0.3336 | 0.5506 | 35.8% | 0/0.97/3.0
09 | 0.9958 | 0.3646 | 0.2540 | 0.1480 | 84% | 0.6031 | 0.3982 | 0.3822 | 0.32 | 29.4% | 0.3499 | 0.5885 | 31.9% | 0/0.99/3.0
10 | 0.9933 | 0.3759 | 0.2801 | 0.1474 | 79% | 0.5749 | 0.4138 | 0.4136 | 0.53 | 35.5% | 0.3620 | 0.6175 | 29.6% | 0/0.99/3.0
11 | 0.9895 | 0.3769 | 0.2691 | 0.1360 | 84% | 0.4998 | 0.4198 | 0.4944 | 0.12 | 28.5% | 0.3575 | 0.6559 | 25.6% | 0/0.9993/3.0
12 | 0.6701 | 0.1740 | 0.1290 | 0.0731 | 37% | 0.0260 | 0.3021 | 0.9937 | 0.70 | 15.0% | 0.2151 | 0.6691 | 28.5% | 70/0.998/1.8
13 | 0.2946 | 0.3156 | 0.2545 | 0.2081 | 58% | 0.8697 | 0.3399 | 0.0925 | 0.73 | 34.6% | 0.3079 | 0.4602 | 47.9% | 70/0.9997/3.0
14 | 0.2747 | 0.3360 | 0.2797 | 0.2410 | 58% | 0.9073 | 0.3328 | 0.0517 | 0.73 | 35.0% | 0.3259 | 0.3980 | 53.1% | 0/0.998/3.0
15 | 0.2652 | 0.3877 | 0.2580 | 0.2929 | 95% | 0.9201 | 0.3307 | 0.0378 | 0.18 | 26.2% | 0.3429 | 0.3647 | 55.5% | 70/0.0/2.5
