Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.5269 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.9998 | 161.26 | 144.78 | 100.0% | 0.0000 | 0.0000
02 | 1.3615 | 0.0021 | 0.0013 | 0.0022 | 0.0023 | 0.9999 | 144.23 | 128.52 | 99.4% | 0.0003 | 0.0022
03 | 1.2563 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
04 | 0.9888 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
05 | 0.9245 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
06 | 0.9085 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
07 | 0.8925 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
08 | 0.8754 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
09 | 0.8568 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
10 | 0.8389 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.00 | 100.0% | 0.0000 | 0.0000
11 | 0.8223 | 0.4703 | 0.3756 | 0.5610 | 0.4432 | 0.9998 | 53.19 | 35.46 | 30.9% | 0.1622 | 0.4915
12 | 0.8107 | 0.5179 | 0.4227 | 0.5177 | 0.5706 | 0.9996 | 61.61 | 34.72 | 26.0% | 0.1173 | 0.5354
13 | 0.8005 | 0.5096 | 0.4169 | 0.5222 | 0.5468 | 0.9996 | 60.74 | 35.52 | 27.9% | 0.1163 | 0.5262
14 | 0.7933 | 0.5268 | 0.4307 | 0.5260 | 0.5806 | 0.9997 | 55.14 | 32.63 | 26.4% | 0.1320 | 0.5445
15 | 0.7880 | 0.5020 | 0.4128 | 0.5301 | 0.5231 | 0.9998 | 53.91 | 34.98 | 30.9% | 0.1666 | 0.5184
16 | 0.7830 | 0.5292 | 0.4354 | 0.5331 | 0.5813 | 0.9997 | 56.82 | 31.80 | 26.0% | 0.1394 | 0.5479
17 | 0.7782 | 0.5263 | 0.4323 | 0.5336 | 0.5720 | 0.9997 | 56.61 | 34.95 | 27.2% | 0.1482 | 0.5440
18 | 0.7747 | 0.5261 | 0.4337 | 0.5128 | 0.5930 | 0.9997 | 52.69 | 32.18 | 28.0% | 0.1613 | 0.5440
19 | 0.7725 | 0.5239 | 0.4292 | 0.5165 | 0.5860 | 0.9997 | 54.07 | 34.20 | 27.0% | 0.1460 | 0.5422
20 | 0.7690 | 0.5426 | 0.4489 | 0.5623 | 0.5763 | 0.9998 | 54.15 | 32.24 | 25.7% | 0.1566 | 0.5604
21 | 0.7665 | 0.5533 | 0.4552 | 0.5320 | 0.6352 | 0.9997 | 57.03 | 32.31 | 22.6% | 0.1409 | 0.5735
22 | 0.7637 | 0.5469 | 0.4498 | 0.5513 | 0.5935 | 0.9997 | 51.87 | 29.48 | 24.1% | 0.1633 | 0.5639
23 | 0.7625 | 0.5594 | 0.4615 | 0.5748 | 0.5924 | 0.9997 | 48.20 | 27.44 | 23.2% | 0.1447 | 0.5755
24 | 0.7600 | 0.5474 | 0.4512 | 0.5495 | 0.5948 | 0.9998 | 50.72 | 30.59 | 24.8% | 0.1617 | 0.5639
25 | 0.7582 | 0.5489 | 0.4541 | 0.5577 | 0.5924 | 0.9998 | 48.04 | 29.43 | 25.1% | 0.1605 | 0.5663
26 | 0.7558 | 0.5523 | 0.4558 | 0.5726 | 0.5811 | 0.9998 | 47.27 | 28.32 | 24.1% | 0.1722 | 0.5687
27 | 0.7552 | 0.5623 | 0.4648 | 0.5793 | 0.5908 | 0.9998 | 47.61 | 28.39 | 23.4% | 0.1707 | 0.5774
28 | 0.7528 | 0.5477 | 0.4543 | 0.5817 | 0.5571 | 0.9998 | 44.33 | 27.59 | 26.3% | 0.1803 | 0.5622
29 | 0.7522 | 0.5596 | 0.4639 | 0.5839 | 0.5830 | 0.9998 | 43.27 | 26.52 | 24.5% | 0.1780 | 0.5755
30 | 0.7508 | 0.5582 | 0.4624 | 0.5712 | 0.5933 | 0.9998 | 44.88 | 26.68 | 24.2% | 0.1741 | 0.5742
31 | 0.7499 | 0.5558 | 0.4605 | 0.5779 | 0.5831 | 0.9998 | 45.84 | 28.12 | 24.5% | 0.1744 | 0.5722
32 | 0.7488 | 0.5601 | 0.4652 | 0.5820 | 0.5854 | 0.9998 | 42.48 | 26.12 | 24.4% | 0.1781 | 0.5759
33 | 0.7481 | 0.5492 | 0.4554 | 0.5822 | 0.5691 | 0.9998 | 44.02 | 27.87 | 25.4% | 0.1818 | 0.5668
34 | 0.7464 | 0.5571 | 0.4613 | 0.5711 | 0.5917 | 0.9998 | 46.91 | 29.37 | 24.2% | 0.1679 | 0.5733
35 | 0.7465 | 0.5551 | 0.4598 | 0.5764 | 0.5853 | 0.9998 | 46.08 | 28.61 | 24.3% | 0.1693 | 0.5723
36 | 0.7456 | 0.5517 | 0.4575 | 0.5825 | 0.5704 | 0.9998 | 43.34 | 27.57 | 25.6% | 0.1811 | 0.5682
37 | 0.7457 | 0.5563 | 0.4620 | 0.5770 | 0.5853 | 0.9998 | 44.65 | 28.29 | 24.8% | 0.1749 | 0.5729
38 | 0.7445 | 0.5563 | 0.4618 | 0.5811 | 0.5820 | 0.9998 | 43.89 | 27.77 | 24.7% | 0.1833 | 0.5731
