Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.0959 | 0.0007 | 0.0004 | 0.0046 | 0.0004 | 0.9998 | 131.01 | 114.02 | 99.4% | 0.0004 | 0.0019
02 | 1.0418 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 146.16 | 137.68 | 100.0% | 0.0000 | 0.0000
03 | 1.0201 | 0.2016 | 0.1425 | 0.1592 | 0.3734 | 0.9979 | 110.36 | 65.16 | 57.8% | 0.0542 | 0.2447
04 | 1.0053 | 0.3217 | 0.2397 | 0.2795 | 0.4857 | 0.9991 | 93.61 | 53.15 | 43.0% | 0.1159 | 0.3623
05 | 0.9949 | 0.3331 | 0.2415 | 0.2675 | 0.5806 | 0.9988 | 96.66 | 48.27 | 35.3% | 0.1050 | 0.3937
06 | 0.9841 | 0.3651 | 0.2658 | 0.2862 | 0.6616 | 0.9987 | 112.77 | 51.01 | 28.3% | 0.0908 | 0.4376
07 | 0.9675 | 0.4141 | 0.3139 | 0.3469 | 0.6428 | 0.9992 | 95.25 | 43.13 | 26.7% | 0.1124 | 0.4679
08 | 0.9363 | 0.4001 | 0.3042 | 0.3313 | 0.6548 | 0.9990 | 102.34 | 45.72 | 26.7% | 0.0758 | 0.4621
09 | 0.8206 | 0.4852 | 0.3880 | 0.5008 | 0.5264 | 0.9998 | 69.46 | 37.33 | 28.1% | 0.1482 | 0.5041
10 | 0.7863 | 0.5137 | 0.4176 | 0.5057 | 0.5814 | 0.9997 | 64.50 | 34.98 | 26.2% | 0.1509 | 0.5336
11 | 0.7782 | 0.5276 | 0.4285 | 0.5460 | 0.5604 | 0.9998 | 59.57 | 32.21 | 25.2% | 0.1614 | 0.5447
12 | 0.7727 | 0.5354 | 0.4334 | 0.5475 | 0.5840 | 0.9998 | 58.10 | 29.40 | 22.4% | 0.1539 | 0.5556
13 | 0.7697 | 0.5509 | 0.4505 | 0.5407 | 0.6178 | 0.9998 | 60.68 | 29.43 | 21.9% | 0.1599 | 0.5698
14 | 0.7651 | 0.5424 | 0.4436 | 0.5499 | 0.5880 | 0.9998 | 61.73 | 32.80 | 23.8% | 0.1665 | 0.5601
15 | 0.7628 | 0.5523 | 0.4535 | 0.5864 | 0.5717 | 0.9998 | 51.25 | 28.47 | 22.0% | 0.1772 | 0.5701
16 | 0.7603 | 0.5436 | 0.4438 | 0.5558 | 0.5936 | 0.9998 | 56.13 | 29.49 | 22.4% | 0.1600 | 0.5643
17 | 0.7577 | 0.5544 | 0.4565 | 0.5700 | 0.5927 | 0.9998 | 49.33 | 27.55 | 23.1% | 0.1921 | 0.5724
18 | 0.7564 | 0.5585 | 0.4561 | 0.5715 | 0.6012 | 0.9998 | 48.91 | 27.59 | 21.8% | 0.1784 | 0.5770
19 | 0.7538 | 0.5598 | 0.4594 | 0.5857 | 0.5875 | 0.9998 | 51.46 | 27.65 | 21.8% | 0.1751 | 0.5777
20 | 0.7527 | 0.5528 | 0.4544 | 0.5644 | 0.5948 | 0.9998 | 57.00 | 30.03 | 23.3% | 0.1660 | 0.5707
21 | 0.7503 | 0.5612 | 0.4612 | 0.5584 | 0.6236 | 0.9998 | 54.17 | 29.02 | 21.7% | 0.1752 | 0.5811
22 | 0.7478 | 0.5448 | 0.4458 | 0.5917 | 0.5554 | 0.9998 | 51.23 | 29.72 | 23.2% | 0.1811 | 0.5640
23 | 0.7462 | 0.5554 | 0.4555 | 0.5868 | 0.5774 | 0.9998 | 51.72 | 27.93 | 21.8% | 0.1765 | 0.5732
24 | 0.7440 | 0.5679 | 0.4684 | 0.5884 | 0.6032 | 0.9998 | 51.23 | 26.76 | 20.7% | 0.1731 | 0.5865
25 | 0.7426 | 0.5601 | 0.4625 | 0.5994 | 0.5741 | 0.9998 | 49.05 | 29.51 | 23.3% | 0.1942 | 0.5779
26 | 0.7404 | 0.5770 | 0.4818 | 0.6229 | 0.5857 | 0.9999 | 43.63 | 26.55 | 22.0% | 0.2003 | 0.5952
27 | 0.7396 | 0.5673 | 0.4707 | 0.6015 | 0.5834 | 0.9998 | 47.63 | 27.59 | 23.0% | 0.1939 | 0.5840
28 | 0.7369 | 0.5608 | 0.4635 | 0.6001 | 0.5759 | 0.9998 | 49.94 | 27.99 | 22.5% | 0.1921 | 0.5789
29 | 0.7364 | 0.5629 | 0.4655 | 0.5946 | 0.5887 | 0.9998 | 49.68 | 28.32 | 22.3% | 0.1919 | 0.5821
30 | 0.7359 | 0.5728 | 0.4748 | 0.5924 | 0.6052 | 0.9998 | 51.38 | 27.43 | 21.5% | 0.1841 | 0.5901
31 | 0.7342 | 0.5625 | 0.4665 | 0.5922 | 0.5839 | 0.9998 | 50.79 | 29.41 | 23.0% | 0.1873 | 0.5796
32 | 0.7338 | 0.5761 | 0.4774 | 0.6152 | 0.5898 | 0.9998 | 48.14 | 26.51 | 21.2% | 0.1969 | 0.5937
33 | 0.7324 | 0.5610 | 0.4652 | 0.6017 | 0.5769 | 0.9998 | 49.67 | 29.14 | 22.9% | 0.1847 | 0.5799
34 | 0.7322 | 0.5669 | 0.4702 | 0.6050 | 0.5850 | 0.9998 | 47.34 | 27.30 | 22.4% | 0.1896 | 0.5856
35 | 0.7315 | 0.5641 | 0.4670 | 0.6046 | 0.5838 | 0.9998 | 49.05 | 28.16 | 22.6% | 0.1928 | 0.5842
36 | 0.7308 | 0.5544 | 0.4587 | 0.6015 | 0.5654 | 0.9999 | 48.26 | 28.64 | 23.4% | 0.1975 | 0.5738
37 | 0.7309 | 0.5648 | 0.4670 | 0.6046 | 0.5822 | 0.9998 | 48.56 | 27.40 | 22.5% | 0.1916 | 0.5838
38 | 0.7303 | 0.5660 | 0.4683 | 0.6109 | 0.5788 | 0.9998 | 47.99 | 27.83 | 22.1% | 0.1961 | 0.5852
39 | 0.7300 | 0.5679 | 0.4707 | 0.6083 | 0.5825 | 0.9998 | 47.77 | 27.96 | 22.4% | 0.1946 | 0.5862
40 | 0.7301 | 0.5660 | 0.4681 | 0.6091 | 0.5800 | 0.9998 | 48.13 | 27.37 | 22.1% | 0.1951 | 0.5850
