Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.0956 | 0.0001 | 0.0001 | 0.0001 | 0.0004 | 0.9998 | 140.47 | 124.09 | 99.9% | 0.0000 | 0.0002
02 | 1.0418 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 188.35 | 178.44 | 100.0% | 0.0000 | 0.0000
03 | 1.0194 | 0.2329 | 0.1771 | 0.2262 | 0.3163 | 0.9995 | 68.22 | 40.69 | 61.1% | 0.1283 | 0.2585
04 | 1.0037 | 0.2913 | 0.2077 | 0.2360 | 0.5434 | 0.9988 | 114.91 | 55.64 | 39.0% | 0.0810 | 0.3569
05 | 0.9920 | 0.3193 | 0.2354 | 0.2921 | 0.4778 | 0.9993 | 103.24 | 52.48 | 40.7% | 0.1073 | 0.3631
06 | 0.9793 | 0.3192 | 0.2404 | 0.3092 | 0.4401 | 0.9995 | 115.77 | 58.11 | 43.1% | 0.1169 | 0.3562
07 | 0.9573 | 0.3623 | 0.2753 | 0.3410 | 0.4863 | 0.9996 | 109.13 | 53.90 | 38.4% | 0.1327 | 0.3965
08 | 0.8220 | 0.3470 | 0.2760 | 0.4504 | 0.3326 | 0.9999 | 65.39 | 36.49 | 46.0% | 0.1924 | 0.3767
09 | 0.7397 | 0.3382 | 0.2704 | 0.4101 | 0.3437 | 0.9999 | 85.09 | 49.75 | 48.1% | 0.1796 | 0.3640
10 | 0.7230 | 0.3444 | 0.2783 | 0.4258 | 0.3397 | 0.9999 | 73.21 | 42.60 | 48.6% | 0.1987 | 0.3700
11 | 0.7132 | 0.2889 | 0.2333 | 0.3865 | 0.2732 | 0.9999 | 64.02 | 40.17 | 56.5% | 0.1871 | 0.3162
12 | 0.7074 | 0.3251 | 0.2662 | 0.4011 | 0.3176 | 0.9999 | 66.34 | 41.11 | 53.2% | 0.2183 | 0.3479
13 | 0.7027 | 0.2762 | 0.2233 | 0.3773 | 0.2535 | 0.9999 | 55.69 | 36.50 | 59.0% | 0.2106 | 0.3023
14 | 0.7006 | 0.2917 | 0.2379 | 0.3692 | 0.2818 | 0.9999 | 67.33 | 41.76 | 57.1% | 0.1954 | 0.3142
15 | 0.5728 | 0.1588 | 0.1328 | 0.1983 | 0.1537 | 0.9999 | 42.95 | 25.70 | 77.9% | 0.1599 | 0.1703
16 | 0.1781 | 0.1674 | 0.1385 | 0.2254 | 0.1528 | 1.0000 | 34.88 | 16.77 | 76.1% | 0.1912 | 0.1819
17 | 0.1424 | 0.1670 | 0.1402 | 0.2148 | 0.1517 | 1.0000 | 31.68 | 17.95 | 77.2% | 0.1783 | 0.1778
18 | 0.1267 | 0.1711 | 0.1423 | 0.2118 | 0.1621 | 1.0000 | 35.17 | 21.34 | 76.7% | 0.1855 | 0.1817
19 | 0.1126 | 0.1341 | 0.1123 | 0.1693 | 0.1252 | 1.0000 | 35.00 | 20.40 | 81.6% | 0.1587 | 0.1429
20 | 0.1066 | 0.1921 | 0.1586 | 0.2443 | 0.1812 | 1.0000 | 35.79 | 19.72 | 72.9% | 0.2023 | 0.2058
21 | 0.0983 | 0.1674 | 0.1390 | 0.2029 | 0.1645 | 1.0000 | 30.01 | 15.82 | 76.8% | 0.1776 | 0.1783
22 | 0.0885 | 0.1645 | 0.1377 | 0.2074 | 0.1567 | 1.0000 | 32.40 | 18.24 | 77.4% | 0.1835 | 0.1762
23 | 0.0849 | 0.1051 | 0.0871 | 0.1418 | 0.0945 | 1.0000 | 33.72 | 17.71 | 84.8% | 0.1432 | 0.1138
24 | 0.0812 | 0.1383 | 0.1151 | 0.1818 | 0.1264 | 1.0000 | 31.95 | 17.67 | 80.7% | 0.1664 | 0.1488
25 | 0.0759 | 0.1251 | 0.1051 | 0.1612 | 0.1178 | 1.0000 | 33.92 | 17.48 | 82.6% | 0.1553 | 0.1347
26 | 0.0744 | 0.1337 | 0.1118 | 0.1662 | 0.1269 | 1.0000 | 32.35 | 20.26 | 81.4% | 0.1626 | 0.1423
27 | 0.0722 | 0.1089 | 0.0920 | 0.1368 | 0.1026 | 1.0000 | 21.89 | 11.51 | 85.4% | 0.1474 | 0.1161
28 | 0.0688 | 0.1155 | 0.0966 | 0.1496 | 0.1068 | 1.0000 | 30.83 | 17.90 | 84.1% | 0.1526 | 0.1240
29 | 0.0667 | 0.1175 | 0.0978 | 0.1535 | 0.1097 | 1.0000 | 26.16 | 13.96 | 83.7% | 0.1490 | 0.1269
30 | 0.0631 | 0.1071 | 0.0898 | 0.1411 | 0.1017 | 1.0000 | 24.03 | 13.71 | 84.8% | 0.1405 | 0.1167
31 | 0.0630 | 0.1005 | 0.0843 | 0.1294 | 0.0930 | 1.0000 | 25.17 | 15.09 | 86.1% | 0.1289 | 0.1077
32 | 0.0610 | 0.0973 | 0.0819 | 0.1257 | 0.0898 | 1.0000 | 28.74 | 17.67 | 87.0% | 0.1206 | 0.1043
33 | 0.0596 | 0.0963 | 0.0805 | 0.1268 | 0.0894 | 1.0000 | 26.83 | 15.64 | 86.8% | 0.1292 | 0.1042
34 | 0.0579 | 0.0962 | 0.0808 | 0.1245 | 0.0903 | 1.0000 | 28.32 | 16.19 | 86.8% | 0.1253 | 0.1037
35 | 0.0570 | 0.0806 | 0.0681 | 0.1022 | 0.0760 | 1.0000 | 28.84 | 16.29 | 89.3% | 0.1094 | 0.0863
36 | 0.0555 | 0.0924 | 0.0779 | 0.1184 | 0.0872 | 1.0000 | 29.01 | 16.94 | 87.4% | 0.1213 | 0.0993
37 | 0.0548 | 0.0843 | 0.0713 | 0.1068 | 0.0791 | 1.0000 | 27.25 | 15.66 | 89.0% | 0.1124 | 0.0901
38 | 0.0539 | 0.0820 | 0.0695 | 0.1038 | 0.0771 | 1.0000 | 27.10 | 15.32 | 88.9% | 0.1099 | 0.0876
39 | 0.0539 | 0.0799 | 0.0679 | 0.0999 | 0.0754 | 1.0000 | 27.95 | 15.80 | 89.4% | 0.1075 | 0.0851
40 | 0.0534 | 0.0803 | 0.0683 | 0.0997 | 0.0756 | 1.0000 | 27.82 | 15.77 | 89.4% | 0.1084 | 0.0852
