Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
01 | 1.1445 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0004 | 1.0000 | 0.00 | 0.0% | 0.0003 | 0.0016 | 100.0% | 0/0.995/0.0
02 | 1.0956 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.99/0.0
03 | 1.0537 | 0.1881 | 0.0000 | 0.0000 | 100% | 0.0000 | 0.0000 | 1.0000 | 0.00 | 0.0% | 0.0000 | 0.0000 | 100.0% | 0/0.7/0.0
04 | 1.0240 | 0.2859 | 0.1326 | 0.1132 | 95% | 0.2432 | 0.2110 | 0.7545 | 0.21 | 9.8% | 0.2164 | 0.2795 | 65.0% | 0/0.95/0.0
05 | 1.0055 | 0.3090 | 0.1610 | 0.1328 | 95% | 0.6779 | 0.3234 | 0.2968 | 0.15 | 14.5% | 0.2881 | 0.4761 | 45.3% | 0/0.998/4.0
06 | 0.9929 | 0.3393 | 0.2107 | 0.1343 | 89% | 0.5637 | 0.3562 | 0.4215 | 0.26 | 21.0% | 0.3287 | 0.5129 | 39.2% | 0/0.9993/3.0
07 | 0.9769 | 0.3175 | 0.1960 | 0.1255 | 84% | 0.4351 | 0.3823 | 0.5611 | 0.22 | 21.5% | 0.3465 | 0.5528 | 34.4% | 0/0.9993/2.0
08 | 0.8299 | 0.2831 | 0.1902 | 0.1207 | 68% | 0.4122 | 0.3764 | 0.5852 | 0.76 | 23.4% | 0.3222 | 0.5805 | 33.7% | 0/0.9997/1.8
09 | 0.2540 | 0.3565 | 0.2927 | 0.2368 | 63% | 0.8703 | 0.3387 | 0.0917 | 0.67 | 34.6% | 0.3498 | 0.3936 | 51.8% | 0/0.9997/3.0
10 | 0.1971 | 0.3729 | 0.2763 | 0.2542 | 79% | 0.9053 | 0.3013 | 0.0516 | 0.66 | 33.6% | 0.3446 | 0.3170 | 58.3% | 35/0.998/4.0
11 | 0.1647 | 0.3653 | 0.2548 | 0.2349 | 84% | 0.9161 | 0.2597 | 0.0370 | 0.44 | 26.6% | 0.3009 | 0.2645 | 64.8% | 0/0.97/2.5
12 | 0.1496 | 0.3560 | 0.2190 | 0.2377 | 95% | 0.9197 | 0.2442 | 0.0320 | 0.21 | 21.0% | 0.2817 | 0.2434 | 67.5% | 35/0.995/2.5
13 | 0.1381 | 0.3568 | 0.2321 | 0.2405 | 89% | 0.9230 | 0.2280 | 0.0273 | 0.29 | 21.5% | 0.2588 | 0.2282 | 70.2% | 0/0.99/2.5
14 | 0.1287 | 0.3562 | 0.2193 | 0.2656 | 95% | 0.9244 | 0.2185 | 0.0252 | 0.25 | 20.1% | 0.2534 | 0.2175 | 70.9% | 0/0.99/2.5
15 | 0.1244 | 0.3422 | 0.2020 | 0.2907 | 95% | 0.9259 | 0.2088 | 0.0228 | 0.17 | 19.2% | 0.2399 | 0.2069 | 72.6% | 0/0.995/2.5
16 | 0.1198 | 0.3336 | 0.2157 | 0.2825 | 84% | 0.9273 | 0.1952 | 0.0204 | 0.27 | 20.6% | 0.2262 | 0.1931 | 73.9% | 0/0.998/4.0
17 | 0.1157 | 0.3336 | 0.1914 | 0.2569 | 95% | 0.9268 | 0.2026 | 0.0214 | 0.12 | 17.3% | 0.2327 | 0.2010 | 73.2% | 35/0.99/2.5
18 | 0.1123 | 0.3428 | 0.1906 | 0.2744 | 100% | 0.9288 | 0.1980 | 0.0190 | 0.10 | 16.8% | 0.2307 | 0.1929 | 74.3% | 0/0.995/2.5
19 | 0.1089 | 0.3405 | 0.1998 | 0.2769 | 95% | 0.9301 | 0.1963 | 0.0175 | 0.15 | 19.2% | 0.2332 | 0.1893 | 73.9% | 0/0.995/3.0
20 | 0.1046 | 0.3330 | 0.2151 | 0.2798 | 84% | 0.9294 | 0.1978 | 0.0183 | 0.25 | 22.0% | 0.2322 | 0.1917 | 73.8% | 0/0.998/4.0
21 | 0.1039 | 0.3532 | 0.2155 | 0.2871 | 95% | 0.9303 | 0.1901 | 0.0168 | 0.28 | 21.5% | 0.2252 | 0.1838 | 75.1% | 0/0.995/4.0
