Epoch | Loss | Dice | IoU | Precision | Sensitivity | Specificity | HD95(mm) | ASD(mm) | FailRate | 3DDice | CompositeScore
01 | 1.0961 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.9998 | 139.60 | 125.68 | 100.0% | 0.0000 | 0.0000
02 | 1.0428 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 139.26 | 129.48 | 100.0% | 0.0000 | 0.0000
03 | 1.0229 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 216.91 | 186.85 | 100.0% | 0.0000 | 0.0000
04 | 1.0127 | 0.2331 | 0.1765 | 0.2199 | 0.3203 | 0.9993 | 69.93 | 47.23 | 61.3% | 0.1172 | 0.2578
05 | 1.0059 | 0.3029 | 0.2278 | 0.2855 | 0.4272 | 0.9993 | 66.16 | 36.81 | 48.6% | 0.1448 | 0.3385
06 | 1.0019 | 0.3343 | 0.2557 | 0.3291 | 0.4318 | 0.9994 | 61.72 | 34.22 | 46.2% | 0.1622 | 0.3651
07 | 0.9991 | 0.3581 | 0.2771 | 0.3490 | 0.4628 | 0.9995 | 56.41 | 31.11 | 43.5% | 0.1904 | 0.3900
08 | 0.9968 | 0.3532 | 0.2600 | 0.2942 | 0.5718 | 0.9989 | 93.27 | 45.51 | 34.4% | 0.1178 | 0.4064
09 | 0.9947 | 0.3905 | 0.2938 | 0.3495 | 0.5633 | 0.9993 | 78.58 | 38.82 | 33.8% | 0.1646 | 0.4344
10 | 0.9927 | 0.3940 | 0.2985 | 0.3722 | 0.5340 | 0.9994 | 61.62 | 31.70 | 35.2% | 0.1740 | 0.4334
11 | 0.9901 | 0.4192 | 0.3230 | 0.3913 | 0.5590 | 0.9995 | 61.56 | 31.30 | 33.3% | 0.2013 | 0.4565
12 | 0.9866 | 0.4037 | 0.2969 | 0.3349 | 0.6432 | 0.9991 | 91.38 | 39.97 | 26.5% | 0.1362 | 0.4606
13 | 0.9206 | 0.4347 | 0.3406 | 0.4053 | 0.5581 | 0.9996 | 73.91 | 40.90 | 32.4% | 0.1459 | 0.4660
14 | 0.8068 | 0.5062 | 0.3999 | 0.4500 | 0.6637 | 0.9995 | 76.59 | 34.61 | 21.3% | 0.1212 | 0.5400
15 | 0.7907 | 0.5266 | 0.4197 | 0.4817 | 0.6577 | 0.9996 | 70.90 | 32.56 | 20.0% | 0.1331 | 0.5553
16 | 0.7823 | 0.5273 | 0.4267 | 0.4946 | 0.6385 | 0.9997 | 67.21 | 32.79 | 22.2% | 0.1317 | 0.5535
17 | 0.7781 | 0.5173 | 0.4176 | 0.4889 | 0.6197 | 0.9997 | 64.01 | 31.58 | 23.9% | 0.1356 | 0.5420
18 | 0.7745 | 0.4978 | 0.3937 | 0.4429 | 0.6505 | 0.9996 | 76.18 | 35.17 | 22.8% | 0.1185 | 0.5304
19 | 0.7713 | 0.5408 | 0.4392 | 0.5100 | 0.6357 | 0.9997 | 60.81 | 30.14 | 22.2% | 0.1468 | 0.5621
20 | 0.7694 | 0.5282 | 0.4240 | 0.4880 | 0.6497 | 0.9996 | 67.52 | 32.67 | 21.2% | 0.1330 | 0.5553
21 | 0.7663 | 0.5348 | 0.4272 | 0.4794 | 0.6762 | 0.9996 | 68.41 | 31.15 | 19.9% | 0.1291 | 0.5635
22 | 0.7647 | 0.5343 | 0.4358 | 0.5041 | 0.6295 | 0.9997 | 61.80 | 32.58 | 23.9% | 0.1481 | 0.5560
23 | 0.7627 | 0.5130 | 0.4160 | 0.4901 | 0.6052 | 0.9997 | 51.16 | 28.70 | 26.9% | 0.1908 | 0.5361
24 | 0.2850 | 0.3828 | 0.3197 | 0.3809 | 0.4262 | 0.9998 | 29.00 | 15.13 | 49.3% | 0.2909 | 0.3967
25 | 0.2338 | 0.3532 | 0.2970 | 0.3610 | 0.3815 | 0.9999 | 27.93 | 14.29 | 54.0% | 0.3137 | 0.3652
26 | 0.2254 | 0.4250 | 0.3544 | 0.4112 | 0.4819 | 0.9998 | 31.60 | 16.66 | 43.6% | 0.2975 | 0.4394
27 | 0.2271 | 0.4373 | 0.3618 | 0.4230 | 0.4969 | 0.9998 | 32.57 | 16.71 | 41.2% | 0.2840 | 0.4524
28 | 0.2196 | 0.4212 | 0.3509 | 0.4093 | 0.4729 | 0.9998 | 30.80 | 14.66 | 44.2% | 0.3167 | 0.4345
29 | 0.2174 | 0.3936 | 0.3271 | 0.3834 | 0.4459 | 0.9998 | 27.18 | 13.67 | 47.6% | 0.3061 | 0.4076
30 | 0.2189 | 0.3429 | 0.2869 | 0.3420 | 0.3804 | 0.9998 | 24.17 | 10.86 | 54.9% | 0.3090 | 0.3551
31 | 0.2140 | 0.4081 | 0.3434 | 0.4048 | 0.4472 | 0.9998 | 25.59 | 12.05 | 47.0% | 0.3402 | 0.4200
32 | 0.2061 | 0.4155 | 0.3451 | 0.4112 | 0.4613 | 0.9998 | 27.96 | 14.01 | 44.7% | 0.3251 | 0.4293
33 | 0.2070 | 0.4526 | 0.3759 | 0.4450 | 0.5033 | 0.9998 | 29.61 | 15.04 | 39.6% | 0.3236 | 0.4670
34 | 0.2077 | 0.4295 | 0.3588 | 0.4229 | 0.4785 | 0.9998 | 27.27 | 14.09 | 43.3% | 0.3362 | 0.4436
35 | 0.2037 | 0.4338 | 0.3613 | 0.4216 | 0.4885 | 0.9998 | 29.13 | 14.24 | 42.3% | 0.3315 | 0.4480
36 | 0.2032 | 0.4122 | 0.3469 | 0.4090 | 0.4502 | 0.9998 | 24.86 | 12.06 | 46.4% | 0.3492 | 0.4238
37 | 0.1989 | 0.4355 | 0.3636 | 0.4267 | 0.4856 | 0.9998 | 26.72 | 12.82 | 42.5% | 0.3341 | 0.4493
38 | 0.2018 | 0.4359 | 0.3639 | 0.4295 | 0.4854 | 0.9998 | 26.91 | 13.11 | 42.3% | 0.3343 | 0.4503
